Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-04-28,National,29.33,49.83,31.33,82.0,15.08,0.99,70.38
2016-04-29,National,29.58,54.5,30.33,82.54,13.12,1.04,70.67
2016-04-30,National,32.75,55.0,44.5,85.54,16.92,1.07,74.29
2016-05-01,National,33.25,52.67,39.25,53.5,18.62,1.1,75.0
2016-05-02,National,16.58,34.04,31.71,40.12,14.67,0.51,56.04
2016-05-03,National,20.79,45.38,33.12,50.67,13.08,1.0,60.83
2016-05-04,National,15.58,33.04,40.79,36.79,14.75,0.73,54.96
2016-05-05,National,14.67,28.17,35.29,45.58,8.79,1.03,54.0
2016-05-06,National,21.5,43.96,28.83,50.29,8.33,0.92,61.83
2016-05-07,National,22.86,72.29,22.9,50.33,11.0,1.3,66.33
2016-05-08,National,22.17,40.08,26.62,50.67,19.88,1.23,62.38
2016-05-09,National,22.62,39.46,33.92,60.75,20.0,1.05,62.92
2016-05-10,National,14.12,27.38,30.33,47.75,11.54,0.81,53.04
2016-05-11,National,17.79,32.42,31.88,66.67,15.83,0.97,57.42
2016-05-12,National,19.0,33.79,25.33,77.17,22.62,0.95,58.83
2016-05-13,National,20.38,40.38,27.21,58.96,22.62,0.79,60.42
2016-05-14,National,19.88,38.67,29.0,60.67,22.54,0.71,59.58
2016-05-15,National,16.67,33.08,35.42,55.21,27.0,0.7,56.17
2016-05-16,National,15.83,32.48,43.0,50.43,16.57,0.61,55.39
2016-05-17,National,22.12,43.71,39.42,84.67,28.25,1.05,62.46
2016-05-18,National,29.33,52.17,27.67,64.96,25.33,0.84,70.58
2016-05-19,National,18.92,35.5,27.33,65.17,15.96,0.7,58.71
2016-05-20,National,18.04,34.58,27.58,54.04,22.5,0.53,57.71
2016-05-21,National,16.12,31.5,32.88,39.0,21.71,0.47,55.62
2016-05-22,National,9.83,23.25,44.25,45.25,21.96,0.51,40.33
2016-05-23,National,13.88,25.33,43.29,47.33,41.54,0.57,52.88
2016-05-24,National,16.92,31.79,32.62,43.12,40.04,0.41,56.67
2016-05-25,National,12.67,25.79,30.75,42.5,38.83,0.48,51.5
2016-05-26,National,11.62,24.33,26.71,42.88,42.83,0.58,48.38
2016-05-27,National,10.08,20.0,28.33,38.75,34.88,0.55,41.96
2016-05-28,National,10.35,22.0,22.24,39.29,36.71,0.46,43.18
2016-06-01,National,24.0,41.5,31.12,69.5,23.12,0.5,64.38
2016-06-02,National,21.55,37.27,25.23,72.82,28.32,0.8,61.68
2016-06-03,National,29.25,50.0,23.08,76.5,26.96,1.21,70.38
2016-06-04,National,24.68,42.77,14.86,79.23,16.5,0.96,65.14
2016-06-05,National,22.21,39.58,34.88,52.83,21.21,0.99,62.46
2016-06-06,National,20.75,36.71,32.21,46.71,35.0,0.71,60.75
2016-06-07,National,18.79,35.46,29.79,55.54,29.83,0.85,58.54
2016-06-08,National,22.54,40.92,21.79,60.79,22.58,1.04,63.0
2016-06-09,National,25.91,43.26,23.52,66.87,26.7,1.03,66.57
2016-06-10,National,23.15,40.45,27.4,60.7,30.0,0.64,63.5
2016-06-11,National,17.79,33.12,21.46,48.08,32.12,0.58,57.46
2016-06-12,National,13.0,27.62,27.75,37.88,35.08,0.62,51.38
2016-06-13,National,15.12,32.33,25.0,47.92,26.29,0.77,54.54
2016-06-14,National,18.39,39.17,21.43,55.96,21.52,0.88,58.26
2016-06-15,National,22.39,41.61,17.0,59.04,33.22,0.71,62.7
2016-06-16,National,20.5,34.54,17.92,56.0,35.88,0.58,60.54
