date,overall_aqi
2014-10-17,204.32
2014-10-18,45.45
2014-10-19,76.0
2014-10-20,56.0
2014-10-21,56.0
2014-10-22,76.0
2014-10-23,86.0
2014-10-24,86.0
2014-10-25,86.0
2014-10-26,86.0
2014-10-27,86.0
2014-10-28,86.0
2014-10-29,66.0
2014-10-30,56.0
2014-10-31,56.0
2014-11-01,45.45
2014-11-02,34.09
2014-11-03,34.09
2014-11-04,66.0
2014-11-05,56.0
2014-11-06,34.09
2014-11-07,34.09
2014-11-08,45.45
2014-11-09,34.09
2014-11-10,45.45
2014-11-11,96.0
2014-11-12,30.56
2014-11-13,34.09
2014-11-14,36.11
2014-11-15,34.09
2014-11-16,45.45
2014-11-17,34.09
2014-11-18,35.19
2014-11-19,45.45
2014-11-20,34.26
2014-11-21,45.45
2014-11-22,33.33
2014-11-23,45.45
2014-11-24,66.0
2014-11-25,37.96
2014-11-26,37.96
2014-11-27,66.0
2014-11-28,33.33
2014-11-29,25.93
2014-11-30,76.0
2014-12-01,37.04
2014-12-02,34.09
2014-12-03,34.09
2014-12-04,29.63
2014-12-05,58.54
2014-12-06,56.0
2014-12-07,45.45
2014-12-08,45.45
2014-12-09,46.3
2014-12-10,76.0
2014-12-11,39.81
2014-12-12,56.0
2014-12-13,66.0
2014-12-14,45.45
2014-12-15,56.0
2014-12-16,96.0
2014-12-17,66.0
2014-12-18,38.89
2014-12-19,56.0
2014-12-20,45.45
2014-12-21,66.0
2014-12-22,45.45
2014-12-23,46.3
2014-12-24,48.15
2014-12-25,56.0
2014-12-26,46.3
2014-12-27,41.67
2014-12-28,30.56
2014-12-31,66.0
2015-01-01,109.45
2015-01-02,66.0
2015-01-03,96.0
2015-01-04,96.0
2015-01-05,76.0
2015-01-06,66.0
2015-01-07,86.0
2015-01-08,126.34
2015-01-09,76.0
2015-01-10,143.24
2015-01-11,86.0
2015-01-12,66.0
2015-01-13,96.0
2015-01-14,109.45
2015-01-15,66.0
2015-01-16,66.0
2015-01-17,86.0
2015-01-18,143.24
2015-01-19,66.0
2015-01-20,96.0
2015-01-21,86.0
2015-01-22,56.0
2015-01-23,96.0
2015-01-24,76.0
2015-01-25,66.0
2015-01-26,56.0
2015-01-27,86.0
2015-01-28,96.0
2015-01-29,56.0
2015-01-30,66.0
2015-01-31,76.0
2015-02-01,66.0
