date,overall_aqi
28/12/2014,23.15
31/12/2014,45.45
01/01/2015,37.04
05/01/2015,193.24
06/01/2015,109.45
07/01/2015,76.0
08/01/2015,86.0
09/01/2015,27.78
11/01/2015,109.45
12/01/2015,66.0
13/01/2015,45.45
14/01/2015,76.0
15/01/2015,66.0
16/01/2015,57.43
17/01/2015,86.0
18/01/2015,76.0
19/01/2015,96.0
20/01/2015,126.34
21/01/2015,96.0
22/01/2015,96.0
23/01/2015,63.37
25/01/2015,193.24
26/01/2015,193.24
27/01/2015,204.32
28/01/2015,193.24
29/01/2015,96.0
30/01/2015,76.0
31/01/2015,56.44
01/02/2015,76.0
02/02/2015,86.0
03/02/2015,76.0
04/02/2015,76.0
05/02/2015,96.0
06/02/2015,109.45
07/02/2015,96.0
08/02/2015,109.45
09/02/2015,96.0
10/02/2015,159.45
11/02/2015,96.0
12/02/2015,96.0
13/02/2015,109.45
14/02/2015,109.45
15/02/2015,109.45
16/02/2015,96.0
17/02/2015,86.0
18/02/2015,76.0
19/02/2015,86.0
20/02/2015,86.0
21/02/2015,66.0
22/02/2015,76.0
23/02/2015,86.0
24/02/2015,96.0
25/02/2015,109.45
26/02/2015,118.5
27/02/2015,132.5
28/02/2015,109.45
01/03/2015,76.0
02/03/2015,109.45
03/03/2015,96.73
04/03/2015,86.0
05/03/2015,96.73
06/03/2015,96.73
07/03/2015,83.67
08/03/2015,96.73
09/03/2015,115.0
10/03/2015,96.0
11/03/2015,96.0
12/03/2015,96.0
13/03/2015,58.92
15/03/2015,96.73
16/03/2015,122.0
17/03/2015,108.0
18/03/2015,109.45
19/03/2015,143.24
20/03/2015,96.0
21/03/2015,86.0
22/03/2015,109.45
23/03/2015,66.0
24/03/2015,66.0
25/03/2015,76.0
26/03/2015,66.0
27/03/2015,56.0
28/03/2015,76.0
29/03/2015,86.0
30/03/2015,101.0
31/03/2015,56.0
01/04/2015,66.0
02/04/2015,80.4
03/04/2015,118.5
04/04/2015,139.5
05/04/2015,93.47
06/04/2015,77.13
07/04/2015,76.0
08/04/2015,76.0
09/04/2015,86.0
10/04/2015,76.0
11/04/2015,76.0
12/04/2015,66.0
13/04/2015,76.0
14/04/2015,104.5
15/04/2015,169.05
