Date,AQI
01/01/2014,53
02/01/2014,48
03/01/2014,40
04/01/2014,30
05/01/2014,41
06/01/2014,32
07/01/2014,36
08/01/2014,38
09/01/2014,47
10/01/2014,42
11/01/2014,28
12/01/2014,31
13/01/2014,32
14/01/2014,31
15/01/2014,35
16/01/2014,43
17/01/2014,44
18/01/2014,35
19/01/2014,35
20/01/2014,42
21/01/2014,56
22/01/2014,55
23/01/2014,61
24/01/2014,56
25/01/2014,67
26/01/2014,64
27/01/2014,60
28/01/2014,57
29/01/2014,53
30/01/2014,49
31/01/2014,53
01/02/2014,47
02/02/2014,47
03/02/2014,49
04/02/2014,47
05/02/2014,51
06/02/2014,53
07/02/2014,54
08/02/2014,57
09/02/2014,56
10/02/2014,52
11/02/2014,52
12/02/2014,61
13/02/2014,70
14/02/2014,61
15/02/2014,49
16/02/2014,46
17/02/2014,50
18/02/2014,62
19/02/2014,69
20/02/2014,63
21/02/2014,54
22/02/2014,52
23/02/2014,46
24/02/2014,50
25/02/2014,63
26/02/2014,79
27/02/2014,68
28/02/2014,69
01/03/2014,68
02/03/2014,82
03/03/2014,86
04/03/2014,110
05/03/2014,66
06/03/2014,68
07/03/2014,70
08/03/2014,83
09/03/2014,121
10/03/2014,94
11/03/2014,81
12/03/2014,80
13/03/2014,124
14/03/2014,160
15/03/2014,107
16/03/2014,88
17/03/2014,74
18/03/2014,45
19/03/2014,49
20/03/2014,42
21/03/2014,49
22/03/2014,60
23/03/2014,52
24/03/2014,42
25/03/2014,49
26/03/2014,49
27/03/2014,61
28/03/2014,67
29/03/2014,61
30/03/2014,46
31/03/2014,46
01/04/2014,61
02/04/2014,60
03/04/2014,59
04/04/2014,57
05/04/2014,48
06/04/2014,29
07/04/2014,35
08/04/2014,48
09/04/2014,46
10/04/2014,50
11/04/2014,50
12/04/2014,32
13/04/2014,37
14/04/2014,40
15/04/2014,40
16/04/2014,36
17/04/2014,42
18/04/2014,40
19/04/2014,38
20/04/2014,45
21/04/2014,49
22/04/2014,50
23/04/2014,39
24/04/2014,38
25/04/2014,45
26/04/2014,43
27/04/2014,48
28/04/2014,45
29/04/2014,48
30/04/2014,42
01/05/2014,42
02/05/2014,41
03/05/2014,60
04/05/2014,51
05/05/2014,44
06/05/2014,44
07/05/2014,43
08/05/2014,34
09/05/2014,51
10/05/2014,47
11/05/2014,41
12/05/2014,45
13/05/2014,51
14/05/2014,40
15/05/2014,41
16/05/2014,34
17/05/2014,36
18/05/2014,41
19/05/2014,41
20/05/2014,39
21/05/2014,46
22/05/2014,42
23/05/2014,39
24/05/2014,45
25/05/2014,41
26/05/2014,40
27/05/2014,36
28/05/2014,41
29/05/2014,42
30/05/2014,39
31/05/2014,29
01/06/2014,44
02/06/2014,37
03/06/2014,32
04/06/2014,50
05/06/2014,35
06/06/2014,30
07/06/2014,31
08/06/2014,26
09/06/2014,35
10/06/2014,53
11/06/2014,54
12/06/2014,53
13/06/2014,42
14/06/2014,37
15/06/2014,36
16/06/2014,45
17/06/2014,55
18/06/2014,53
19/06/2014,68
20/06/2014,82
21/06/2014,75
22/06/2014,90
23/06/2014,79
24/06/2014,89
25/06/2014,96
26/06/2014,61
27/06/2014,56
28/06/2014,75
29/06/2014,70
30/06/2014,36
01/07/2014,33
02/07/2014,43
03/07/2014,42
04/07/2014,40
05/07/2014,34
06/07/2014,27
07/07/2014,39
08/07/2014,49
09/07/2014,76
10/07/2014,59
11/07/2014,37
12/07/2014,56
13/07/2014,55
14/07/2014,49
15/07/2014,53
16/07/2014,56
17/07/2014,58
18/07/2014,54
19/07/2014,65
20/07/2014,81
21/07/2014,98
22/07/2014,96
23/07/2014,66
24/07/2014,60
25/07/2014,68
26/07/2014,85
27/07/2014,92
28/07/2014,102
29/07/2014,95
30/07/2014,69
31/07/2014,48
01/08/2014,55
02/08/2014,58
03/08/2014,47
04/08/2014,56
05/08/2014,60
06/08/2014,55
07/08/2014,44
08/08/2014,53
09/08/2014,41
10/08/2014,39
11/08/2014,40
12/08/2014,40
13/08/2014,37
14/08/2014,34
15/08/2014,34
16/08/2014,33
17/08/2014,34
18/08/2014,40
19/08/2014,34
20/08/2014,41
21/08/2014,38
22/08/2014,37
23/08/2014,45
24/08/2014,33
25/08/2014,27
26/08/2014,29
27/08/2014,23
28/08/2014,23
29/08/2014,40
30/08/2014,48
31/08/2014,38
01/09/2014,38
02/09/2014,49
03/09/2014,55
04/09/2014,51
05/09/2014,50
06/09/2014,32
07/09/2014,44
08/09/2014,40
09/09/2014,47
10/09/2014,47
11/09/2014,59
12/09/2014,57
13/09/2014,61
14/09/2014,67
15/09/2014,40
16/09/2014,51
17/09/2014,67
18/09/2014,66
19/09/2014,59
20/09/2014,45
21/09/2014,26
22/09/2014,41
23/09/2014,57
24/09/2014,60
25/09/2014,46
26/09/2014,49
27/09/2014,59
28/09/2014,56
29/09/2014,55
30/09/2014,62
01/10/2014,60
02/10/2014,61
03/10/2014,60
04/10/2014,54
05/10/2014,27
06/10/2014,27
07/10/2014,52
08/10/2014,69
09/10/2014,84
10/10/2014,97
11/10/2014,81
12/10/2014,83
13/10/2014,65
14/10/2014,68
15/10/2014,53
16/10/2014,52
17/10/2014,45
18/10/2014,25
19/10/2014,38
20/10/2014,55
21/10/2014,49
22/10/2014,43
23/10/2014,35
24/10/2014,35
25/10/2014,36
26/10/2014,52
27/10/2014,41
28/10/2014,35
29/10/2014,49
30/10/2014,56
31/10/2014,46
01/11/2014,35
02/11/2014,33
03/11/2014,46
04/11/2014,67
05/11/2014,72
06/11/2014,47
