date,temperature_2m,relative_humidity_2m,wind_speed_10m
2022-05-23,27.887749,85.753914,5.9572434
2022-05-24,27.106499,88.312874,5.9409146
2022-05-25,25.900251,87.628334,8.982459
2022-05-26,27.32525,85.72571,6.924084
2022-05-27,27.796083,82.005516,7.201551
2022-05-28,27.089834,83.129814,7.612068
2022-05-29,27.496084,82.425934,7.9842343
2022-05-30,27.681501,84.80087,7.40564
2022-05-31,26.714834,87.45345,5.670053
2022-06-01,26.81275,85.60371,4.6986427
2022-06-02,26.952333,84.33049,5.1768184
2022-06-03,26.833582,85.485016,6.296776
2022-06-04,26.698166,86.69764,5.081264
2022-06-05,26.071083,88.34676,5.6260924
2022-06-06,26.754417,86.632195,7.1494484
2022-06-07,26.060667,89.280495,3.8317642
2022-06-08,25.723167,88.88267,5.3692613
2022-06-09,25.754417,89.40679,4.9093623
2022-06-10,26.498167,85.48444,5.5207424
2022-06-11,25.2065,90.09159,8.939522
2022-06-12,25.291916,91.7424,4.1535964
2022-06-13,26.179415,87.53449,5.0356317
2022-06-14,26.512749,85.41504,7.476929
2022-06-15,25.452333,89.262054,6.199554
2022-06-16,25.900251,89.046684,3.6371796
2022-06-17,26.17525,88.15565,4.4411407
2022-06-18,25.733583,88.166176,5.0789404
2022-06-19,25.98775,87.475494,6.5785985
2022-06-20,25.266916,91.51688,7.285868
2022-06-21,26.052332,86.98089,8.506843
2022-06-22,26.008583,86.74062,7.235576
2022-06-23,25.81275,87.63863,7.687113
2022-06-24,25.614832,88.76777,5.913378
2022-06-25,25.75025,88.80932,7.409413
2022-06-26,26.852333,85.003494,7.3799825
2022-06-27,26.923166,85.85879,7.0112386
2022-06-28,26.61275,86.69936,5.902393
2022-06-29,27.308584,82.36557,9.812832
2022-06-30,26.4565,84.059,10.068309
2022-07-01,27.594,79.17315,11.781844
2022-07-02,27.543999,80.66816,10.664122
2022-07-03,27.20025,83.23084,9.82658
2022-07-04,27.53775,84.13471,7.5152993
2022-07-05,26.760666,88.615395,6.7050805
2022-07-06,26.858583,84.8552,6.1242695
2022-07-07,27.679415,84.26664,8.032746
2022-07-08,27.123167,85.77747,7.1328063
2022-07-09,27.585665,84.90894,8.975707
2022-07-10,26.73775,85.49117,8.524879
2022-07-11,27.369001,82.76013,8.766586
2022-07-12,27.216917,84.8944,7.0934825
2022-07-13,27.377333,83.24651,6.3030524
2022-07-14,26.556501,86.84371,6.558888
2022-07-15,26.977333,85.2004,8.687143
2022-07-16,28.077333,82.03296,11.675422
2022-07-17,27.837751,84.24094,8.886824
2022-07-18,28.275251,82.171364,8.605851
2022-07-19,27.083582,85.54917,7.9120975
2022-07-20,26.168999,87.212395,8.374732
2022-07-21,26.289833,86.79758,5.5426717
2022-07-22,25.700249,89.12324,5.230002
2022-07-23,26.266916,89.19219,3.9596398
2022-07-24,26.30025,87.002464,3.9002209
2022-07-25,26.871084,82.82246,6.0743947
2022-07-26,26.219,85.381004,6.811356
2022-07-27,27.364832,81.63523,12.20778
2022-07-28,26.598167,87.275696,7.815477
2022-07-29,26.285667,85.868126,9.589908
2022-07-30,26.727333,86.64722,11.167354
2022-07-31,26.323166,88.536156,7.5256066
2022-08-01,26.464834,87.60395,7.100619
2022-08-02,25.4565,89.71469,6.7354927
2022-08-03,25.235666,88.66144,7.202006
2022-08-04,25.48775,90.24691,7.920126
2022-08-05,25.88775,85.45133,7.376043
2022-08-06,26.754417,82.23946,9.480979
2022-08-07,26.883583,84.540695,11.541744
2022-08-08,27.104416,82.12902,10.188282
2022-08-09,27.533585,81.11666,10.027011
2022-08-10,27.714834,80.42751,10.704097
2022-08-11,28.314833,80.79,11.518949
2022-08-12,27.066917,85.68484,7.8485417
2022-08-13,26.089834,88.030235,6.755245
2022-08-14,26.889833,85.733185,5.2122755
2022-08-15,26.710665,87.61276,6.967974
2022-08-16,26.508583,85.399605,7.239294
2022-08-17,26.996084,84.092896,8.177435
2022-08-18,26.660667,84.80401,6.269366
2022-08-19,27.164833,83.699776,8.285321
2022-08-20,25.671083,88.83789,8.014562
2022-08-21,26.246084,86.428764,9.301696
2022-08-22,27.0315,82.00477,7.7587166
2022-08-23,25.866919,87.11713,5.0588317
2022-08-24,26.373167,85.88198,9.291618
2022-08-25,26.104416,87.428894,11.427808
2022-08-26,25.010666,90.84314,4.8393383
2022-08-27,25.702333,88.582695,5.8182807
2022-08-28,25.860666,87.8648,5.8442726
2022-08-29,25.294,88.68459,6.375895
2022-08-30,26.204416,85.33839,6.2236447
2022-08-31,27.291916,83.66479,6.7930913
2022-09-01,26.962751,84.40482,4.9438496
2022-09-02,26.510666,85.23409,8.478782
2022-09-03,26.833582,86.563484,8.101016
