date,temperature_2m,relative_humidity_2m,wind_speed_10m
2015-01-01,24.621584,88.69184,11.648918
2015-01-02,25.48825,78.11381,14.046573
2015-01-03,25.882002,79.29623,13.742522
2015-01-04,25.804916,80.059166,12.014789
2015-01-05,26.06325,82.753746,9.486095
2015-01-06,25.511168,88.120705,9.449536
2015-01-07,25.686167,86.48644,9.501457
2015-01-08,24.511168,90.773796,8.653202
2015-01-09,23.87575,92.622856,9.790299
2015-01-10,25.26325,87.283165,11.7942
2015-01-11,25.315332,87.2627,11.109233
2015-01-12,26.034082,82.21051,14.856265
2015-01-13,26.157,81.46237,16.367598
2015-01-14,25.615334,85.63944,13.659612
2015-01-15,25.577833,81.36077,15.6904955
2015-01-16,25.540335,77.77744,14.980724
2015-01-17,25.532,74.90031,15.708541
2015-01-18,25.552834,77.36729,15.233971
2015-01-19,25.41117,77.279144,14.351003
2015-01-20,25.63825,76.9035,13.216668
2015-01-21,25.315332,83.43977,12.376687
2015-01-22,25.434084,78.340485,15.899957
2015-01-23,25.279917,79.79928,13.740361
2015-01-24,25.415335,78.13659,12.471184
2015-01-25,24.87575,83.02997,10.310842
2015-01-26,25.552834,77.95171,13.472142
2015-01-27,25.852835,76.211235,12.265281
2015-01-28,26.26325,75.8433,11.805789
2015-01-29,25.590334,83.97163,12.160808
2015-01-30,25.546583,85.98941,12.336991
2015-01-31,25.546585,77.47736,16.727575
2015-02-01,25.350752,73.55204,15.899899
2015-02-02,25.196585,80.22222,12.980762
2015-02-03,24.192415,83.20817,13.235728
2015-02-04,24.067415,90.90027,13.288147
2015-02-05,24.848665,85.98937,15.788032
2015-02-06,24.709084,88.41949,14.052365
2015-02-07,25.021584,83.18921,15.851726
2015-02-08,25.271584,79.49803,16.405874
2015-02-09,25.171583,78.97635,18.156576
2015-02-10,24.915335,75.23934,16.65373
2015-02-11,24.81325,76.53487,14.014755
2015-02-12,24.94242,76.90188,14.209121
2015-02-13,25.225752,77.2091,14.311587
2015-02-14,25.340334,78.55051,12.409649
2015-02-15,25.711166,78.840065,11.212799
2015-02-16,26.057,80.04539,11.779511
2015-02-17,26.040335,82.057236,12.6154375
2015-02-18,25.90075,82.94782,10.613044
2015-02-19,25.065332,87.95386,9.497323
2015-02-20,25.840334,81.68058,11.571376
2015-02-21,25.898666,80.333916,13.00132
2015-02-22,26.402834,77.67174,13.213272
2015-02-23,26.459084,78.71482,9.031362
2015-02-24,26.234083,80.8346,9.679047
2015-02-25,26.296583,81.40862,9.665128
2015-02-26,26.336166,80.5131,9.896426
2015-02-27,26.782,76.73167,11.78251
2015-02-28,26.9195,79.51745,11.8106
2015-03-01,26.357,82.686935,9.474824
2015-03-02,26.134085,80.86649,9.003046
2015-03-03,26.596582,81.154106,8.676965
2015-03-04,26.97367,77.90653,6.3843975
2015-03-05,26.819502,77.08477,6.245174
2015-03-06,27.021584,74.735634,6.9775186
2015-03-07,26.936167,77.62702,6.9973106
2015-03-08,26.507002,82.81308,7.534575
2015-03-09,26.502832,83.2306,8.282201
2015-03-10,26.046583,84.89054,11.068946
2015-03-11,25.32575,87.29763,11.416676
2015-03-12,25.954918,78.900955,11.173354
2015-03-13,26.432,72.61836,11.975594
2015-03-14,26.744501,76.655365,11.288398
2015-03-15,26.338251,81.89521,8.340486
2015-03-16,26.767418,80.114235,7.358898
2015-03-17,26.932,81.17836,8.832799
2015-03-18,27.109083,81.44679,7.3156514
2015-03-19,26.521584,85.98138,3.6930778
2015-03-20,26.802834,83.7907,3.6051645
2015-03-21,26.6445,83.82925,5.6620774
2015-03-22,26.304916,85.45948,4.589829
2015-03-23,26.936167,79.885925,7.345066
2015-03-24,26.811167,79.91032,8.176198
2015-03-25,26.650751,83.25387,10.360951
2015-03-26,26.71325,83.924324,10.684487
2015-03-27,26.765333,83.62283,12.520946
2015-03-28,26.336166,85.6195,10.51314
2015-03-29,26.119501,86.128235,8.576971
2015-03-30,26.190332,87.60879,7.7676983
2015-03-31,26.427834,86.93528,7.580012
2015-04-01,26.12992,86.9136,5.388218
2015-04-02,26.146584,87.26476,6.861215
2015-04-03,26.717417,85.24304,3.7079582
2015-04-04,27.015333,85.197876,5.9870625
2015-04-05,26.11325,89.29566,4.9284716
2015-04-06,26.636168,86.657715,6.807219
2015-04-07,26.694502,86.63801,5.826569
2015-04-08,27.00075,85.96868,8.105715
2015-04-09,26.686167,85.62844,10.093495
2015-04-10,26.617416,85.11976,6.740788
2015-04-11,26.386168,87.889336,6.1849594
2015-04-12,26.846582,86.105316,6.1068444
2015-04-13,27.069502,82.92202,7.7103515
2015-04-14,27.342417,79.784454,8.781636
2015-04-15,27.002832,82.69889,7.8906264
2015-04-16,27.496584,80.59467,9.589
2015-04-17,27.240334,84.21122,6.2061195
2015-04-18,27.23825,84.85526,3.5274363
2015-04-19,26.569502,86.982124,4.2281437
2015-04-20,27.432,85.02641,5.2325974
2015-04-21,26.748667,85.03162,5.577596
2015-04-22,26.267418,86.36692,5.6285043
2015-04-23,26.477835,85.13886,5.5317044
2015-04-24,26.13825,86.02895,5.4637146
2015-04-25,26.265333,87.05013,6.692495
2015-04-26,26.196585,87.42621,6.21464
2015-04-27,26.184084,86.48264,5.0090513
2015-04-28,26.70075,87.19518,4.9133296
2015-04-29,26.534082,86.26654,6.0595737
2015-04-30,26.661165,86.636444,6.7077384
2015-05-01,26.561167,86.6243,4.8550797
2015-05-02,26.117416,87.38702,8.233417
2015-05-03,26.63825,83.3337,6.828916
2015-05-04,27.1695,84.014244,5.1985188
2015-05-05,26.892418,86.309,3.5461586
2015-05-06,27.00075,85.16221,5.7820287
2015-05-07,26.384085,88.44196,5.597217
2015-05-08,26.232,86.14002,6.648973
2015-05-09,27.184084,84.09594,8.411151
2015-05-10,26.744501,88.72738,7.157478
2015-05-11,27.398666,83.83732,6.828724
2015-05-12,26.611168,89.18879,6.287358
2015-05-13,26.827833,87.35085,6.451118
2015-05-14,26.44242,88.02381,4.5104594
2015-05-15,27.20075,84.75464,6.0297303
2015-05-16,27.061167,87.49906,7.7157307
2015-05-17,27.107,86.36093,4.99568
2015-05-18,27.204918,85.52354,6.984882
2015-05-19,27.0945,85.581604,8.327277
2015-05-20,27.117416,85.62255,6.960354
2015-05-21,26.936167,87.09357,7.0665984
2015-05-22,27.209084,84.43184,8.4071455
2015-05-23,26.315332,86.420784,5.070738
2015-05-24,27.042418,84.625206,6.3999867
2015-05-25,27.002832,85.74076,8.022738
2015-05-26,26.6195,87.165276,8.03584
2015-05-27,26.57575,86.95523,6.712089
2015-05-28,27.09867,83.446724,7.5321183
2015-05-29,27.892418,80.47522,9.122674
2015-05-30,28.038252,79.1242,9.765094
2015-05-31,27.448668,82.90084,5.6837134
2015-06-01,27.242416,85.86432,4.856261
2015-06-02,26.409082,88.64617,6.174675
2015-06-03,27.309084,82.942566,6.345758
2015-06-04,26.773666,88.16679,6.7434464
2015-06-05,26.621584,89.67338,6.1958337
2015-06-06,26.392418,88.73541,6.5190835
2015-06-07,26.507002,86.905464,6.1942706
2015-06-08,26.477835,87.87356,5.8632565
2015-06-09,26.846582,85.35551,6.0553246
2015-06-10,26.840334,85.82522,6.267019
2015-06-11,26.515335,87.93488,6.8503036
2015-06-12,26.011168,87.70559,6.9934325
2015-06-13,26.652834,82.09477,6.3790126
2015-06-14,26.07575,86.17693,9.665617
2015-06-15,25.790335,89.27776,7.9944015
2015-06-16,26.515333,84.03347,7.5800414
2015-06-17,27.309084,80.67702,8.458992
2015-06-18,27.290335,83.93697,8.996735
2015-06-19,27.584084,81.96572,11.215482
2015-06-20,27.998667,81.5441,10.496299
2015-06-21,28.332,78.63952,12.236785
2015-06-22,28.192415,80.45013,11.783557
