timestamp,reading_type,station_name,reading_value
2019-01-01,DBT 1M F,Singapore_National,26.391916
2019-01-02,DBT 1M F,Singapore_National,26.704416
2019-01-03,DBT 1M F,Singapore_National,27.7065
2019-01-04,DBT 1M F,Singapore_National,27.239832
2019-01-05,DBT 1M F,Singapore_National,26.789833
2019-01-06,DBT 1M F,Singapore_National,26.516916
2019-01-07,DBT 1M F,Singapore_National,26.771082
2019-01-08,DBT 1M F,Singapore_National,25.769
2019-01-09,DBT 1M F,Singapore_National,26.121084
2019-01-10,DBT 1M F,Singapore_National,26.6565
2019-01-11,DBT 1M F,Singapore_National,26.346083
2019-01-12,DBT 1M F,Singapore_National,26.698166
2019-01-13,DBT 1M F,Singapore_National,26.73775
2019-01-14,DBT 1M F,Singapore_National,25.93775
2019-01-15,DBT 1M F,Singapore_National,26.452333
2019-01-16,DBT 1M F,Singapore_National,26.233583
2019-01-17,DBT 1M F,Singapore_National,25.3315
2019-01-18,DBT 1M F,Singapore_National,25.264833
2019-01-19,DBT 1M F,Singapore_National,26.2815
2019-01-20,DBT 1M F,Singapore_National,26.483583
2019-01-21,DBT 1M F,Singapore_National,26.077333
2019-01-22,DBT 1M F,Singapore_National,25.704416
2019-01-23,DBT 1M F,Singapore_National,26.033583
2019-01-24,DBT 1M F,Singapore_National,26.085665
2019-01-25,DBT 1M F,Singapore_National,26.066917
2019-01-26,DBT 1M F,Singapore_National,25.921083
2019-01-27,DBT 1M F,Singapore_National,26.266916
2019-01-28,DBT 1M F,Singapore_National,25.389833
2019-01-29,DBT 1M F,Singapore_National,26.1315
2019-01-30,DBT 1M F,Singapore_National,26.141916
2019-01-31,DBT 1M F,Singapore_National,26.219
2019-02-01,DBT 1M F,Singapore_National,26.558584
2019-02-02,DBT 1M F,Singapore_National,26.519
2019-02-03,DBT 1M F,Singapore_National,26.427332
2019-02-04,DBT 1M F,Singapore_National,26.819
2019-02-05,DBT 1M F,Singapore_National,26.054415
2019-02-06,DBT 1M F,Singapore_National,26.221083
2019-02-07,DBT 1M F,Singapore_National,26.694
2019-02-08,DBT 1M F,Singapore_National,26.979416
2019-02-09,DBT 1M F,Singapore_National,26.860666
2019-02-10,DBT 1M F,Singapore_National,26.573166
2019-02-11,DBT 1M F,Singapore_National,26.329416
2019-02-12,DBT 1M F,Singapore_National,27.283583
2019-02-13,DBT 1M F,Singapore_National,27.196083
2019-02-14,DBT 1M F,Singapore_National,27.085665
2019-02-15,DBT 1M F,Singapore_National,26.948166
2019-02-16,DBT 1M F,Singapore_National,27.496084
2019-02-17,DBT 1M F,Singapore_National,26.939833
2019-02-18,DBT 1M F,Singapore_National,26.354416
2019-02-19,DBT 1M F,Singapore_National,27.327333
2019-02-20,DBT 1M F,Singapore_National,27.341917
2019-02-21,DBT 1M F,Singapore_National,27.744001
2019-02-22,DBT 1M F,Singapore_National,27.391916
2019-02-23,DBT 1M F,Singapore_National,27.72525
2019-02-24,DBT 1M F,Singapore_National,27.821083
2019-02-25,DBT 1M F,Singapore_National,28.0815
2019-02-26,DBT 1M F,Singapore_National,27.239832
2019-02-27,DBT 1M F,Singapore_National,28.0065
2019-02-28,DBT 1M F,Singapore_National,27.8315
2019-03-01,DBT 1M F,Singapore_National,27.483583
2019-03-02,DBT 1M F,Singapore_National,27.931501
2019-03-03,DBT 1M F,Singapore_National,27.723167
2019-03-04,DBT 1M F,Singapore_National,27.879417
