Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2017-01-01,Central,8.0,15.09,16.7,20.22,3.0,0.78,33.43
2017-01-01,East,10.87,21.52,21.13,15.35,3.83,0.29,45.04
2017-01-01,National,10.91,22.74,26.22,21.91,3.83,0.78,45.09
2017-01-01,North,10.0,20.57,21.39,13.09,2.61,0.45,41.17
2017-01-01,South,9.7,22.74,15.0,11.0,3.0,0.78,40.35
2017-01-01,West,8.26,17.7,25.13,9.35,2.22,0.36,34.13
2017-01-02,Central,8.04,16.91,15.09,25.96,3.61,0.79,33.96
2017-01-02,East,10.96,22.13,24.57,18.39,3.74,0.19,45.61
2017-01-02,National,10.96,24.57,25.78,27.83,4.57,0.79,45.61
2017-01-02,North,9.65,19.61,22.87,17.87,2.65,0.41,40.26
2017-01-02,South,9.35,24.57,11.09,18.04,4.3,0.79,38.74
2017-01-02,West,6.61,16.57,17.57,12.61,3.0,0.33,27.91
2017-01-03,Central,8.48,16.26,11.04,28.26,4.04,0.83,35.13
2017-01-03,East,11.87,22.48,15.3,18.57,6.04,0.32,49.26
2017-01-03,National,12.04,22.7,23.0,31.57,6.17,0.84,50.3
2017-01-03,North,11.13,21.17,12.61,26.83,3.39,0.69,46.0
2017-01-03,South,8.87,20.3,9.52,17.52,5.57,0.83,37.48
2017-01-03,West,6.83,16.22,22.48,11.74,3.0,0.35,28.48
2017-01-04,Central,6.89,14.26,17.11,25.84,4.74,0.54,28.21
2017-01-04,East,8.95,16.74,22.32,14.89,4.53,0.19,37.47
2017-01-04,National,9.47,17.32,32.58,27.21,4.74,0.54,39.68
2017-01-04,North,9.0,16.53,18.79,20.21,3.74,0.46,37.63
2017-01-04,South,7.11,15.95,18.84,14.58,4.74,0.54,30.16
2017-01-04,West,5.68,12.53,31.95,10.58,2.05,0.29,24.63
2017-01-05,Central,7.5,15.05,19.6,23.05,5.25,0.57,31.15
2017-01-05,East,9.45,18.65,22.9,15.05,4.45,0.32,39.3
2017-01-05,National,9.85,19.3,27.6,28.75,5.25,0.57,41.25
2017-01-05,North,9.25,18.05,19.65,24.85,3.35,0.47,38.4
2017-01-05,South,7.2,17.5,18.85,13.9,4.3,0.57,29.5
2017-01-05,West,6.0,14.25,21.5,10.4,2.8,0.31,25.4
2017-01-06,Central,9.27,17.59,23.45,40.77,8.41,0.69,38.5
2017-01-06,East,9.55,18.14,35.27,29.82,7.41,0.24,39.05
2017-01-06,National,12.23,23.14,39.27,43.68,8.55,0.69,49.36
2017-01-06,North,12.23,23.05,34.5,25.09,4.68,0.49,49.36
2017-01-06,South,9.5,21.73,22.36,27.68,7.77,0.69,39.05
2017-01-06,West,8.82,20.59,30.73,27.86,5.77,0.34,36.41
2017-01-07,Central,12.18,20.23,27.95,38.14,20.05,0.73,50.36
2017-01-07,East,13.14,21.5,32.64,36.36,23.27,0.22,52.14
2017-01-07,National,17.77,32.14,35.45,41.36,28.77,0.73,57.59
2017-01-07,North,17.77,32.09,34.18,27.0,13.59,0.54,57.59
2017-01-07,South,13.95,27.05,21.91,21.27,28.77,0.73,53.09
2017-01-07,West,12.55,26.32,27.91,27.0,13.5,0.33,50.45
2017-01-08,Central,12.04,20.67,32.88,26.62,16.88,0.73,49.0
2017-01-08,East,12.58,22.33,33.5,24.0,23.04,0.29,51.12
2017-01-08,National,15.54,29.58,40.0,33.0,36.04,0.73,54.83
2017-01-08,North,15.54,27.92,35.92,19.71,12.5,0.51,54.83
2017-01-08,South,14.17,28.79,23.38,18.71,36.04,0.73,53.33
2017-01-08,West,12.46,26.0,30.25,21.62,17.38,0.4,49.62
