Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2020-01-01,Central,8.75,20.92,44.21,7.96,2.0,0.29,36.88
2020-01-01,East,8.67,23.67,32.33,9.5,3.0,0.75,37.17
2020-01-01,National,8.75,24.25,44.21,13.38,3.0,0.75,37.38
2020-01-01,North,8.38,20.5,33.75,8.17,3.0,0.41,34.88
2020-01-01,South,8.17,24.21,36.79,10.08,2.0,0.36,34.96
2020-01-01,West,7.12,23.12,25.46,4.88,3.0,0.39,29.75
2020-01-02,Central,9.46,23.08,35.67,13.54,2.0,0.31,39.29
2020-01-02,East,10.04,30.88,24.75,14.79,3.0,0.76,41.71
2020-01-02,National,10.04,30.88,35.67,19.54,3.12,0.76,41.71
2020-01-02,North,8.17,20.38,25.54,11.29,3.0,0.42,34.17
2020-01-02,South,9.25,27.71,27.38,15.25,2.0,0.38,37.92
2020-01-02,West,7.0,23.21,20.79,7.71,3.12,0.4,29.38
2020-01-03,Central,10.71,26.67,37.75,11.83,2.0,0.32,44.5
2020-01-03,East,11.0,33.38,27.42,11.67,3.29,0.81,45.67
2020-01-03,National,11.0,33.46,37.75,17.58,4.0,0.81,45.88
2020-01-03,North,9.54,22.67,31.42,8.0,3.0,0.42,39.71
2020-01-03,South,10.83,31.71,28.08,16.62,2.0,0.4,45.12
2020-01-03,West,9.79,30.25,20.54,10.25,4.0,0.4,40.54
2020-01-04,Central,10.83,25.79,37.83,11.12,2.54,0.33,44.67
2020-01-04,East,10.42,29.08,29.29,9.83,3.0,0.82,43.5
2020-01-04,National,11.0,29.54,37.83,15.83,4.0,0.82,45.29
2020-01-04,North,9.46,20.96,21.79,7.88,3.25,0.4,39.5
2020-01-04,South,10.71,29.46,32.88,14.29,2.71,0.4,44.88
2020-01-04,West,8.62,28.38,20.04,9.12,4.0,0.41,36.04
2020-01-05,Central,10.83,26.5,38.08,8.67,2.0,0.33,45.88
2020-01-05,East,10.33,29.79,29.58,8.08,3.0,0.79,43.08
2020-01-05,National,11.0,30.5,38.08,12.17,4.0,0.79,46.17
2020-01-05,North,10.12,21.0,11.0,5.96,4.0,0.24,41.83
2020-01-05,South,10.67,29.67,34.96,11.79,2.0,0.4,44.62
2020-01-05,West,9.5,30.21,23.79,6.62,4.0,0.4,39.33
2020-01-06,Central,9.92,24.17,37.62,14.04,2.0,0.33,41.62
2020-01-06,East,11.04,31.08,23.62,19.0,3.0,0.81,46.0
2020-01-06,National,11.08,31.12,37.62,20.79,4.0,0.81,46.17
2020-01-06,North,9.54,20.12,21.96,13.79,3.08,0.24,39.58
2020-01-06,South,9.92,28.75,31.25,15.71,2.0,0.41,41.71
2020-01-06,West,8.96,28.25,24.04,6.71,4.0,0.43,37.62
2020-01-07,Central,7.17,15.92,28.88,14.42,2.0,0.36,30.25
2020-01-07,East,7.33,18.54,20.96,14.17,3.0,0.87,30.46
