Country,Region,Date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
Singapore,East,2023-01-01,28.35,11.12,0.46,12.04,3.73,46.77,44.02
Singapore,Central,2023-01-10,23.01,12.41,0.59,45.91,5.76,51.95,48.14
Singapore,East,2023-01-11,29.56,14.8,0.64,43.11,7.12,23.13,50.87
Singapore,North,2023-01-12,29.48,13.16,0.56,33.99,7.31,32.07,49.28
Singapore,North-East,2023-01-13,25.06,10.08,0.48,31.51,6.17,34.94,41.03
Singapore,West,2023-01-14,29.35,12.9,0.76,36.04,5.73,40.72,48.52
Singapore,Central,2023-01-15,28.29,13.76,0.54,23.62,6.37,38.9,48.46
Singapore,East,2023-01-16,25.14,11.97,0.57,21.53,5.26,31.49,44.6
Singapore,North,2023-01-17,18.68,7.94,0.56,12.87,4.51,44.93,33.49
Singapore,North-East,2023-01-18,19.29,8.17,0.39,15.13,4.51,35.16,34.39
Singapore,West,2023-01-19,24.28,8.74,0.48,18.88,4.5,39.9,36.94
Singapore,Central,2023-01-20,15.96,6.19,0.51,23.92,4.55,23.34,25.94
Singapore,East,2023-01-21,14.88,6.13,0.47,12.71,4.03,25.89,25.38
Singapore,North,2023-01-22,15.09,5.76,0.48,13.21,4.22,28.13,24.14
Singapore,North-East,2023-01-23,15.92,6.98,0.5,19.54,4.31,14.58,29.05
Singapore,West,2023-01-24,12.42,6.19,0.55,18.42,4.31,10.99,25.95
Singapore,Central,2023-01-25,9.97,4.57,0.47,21.69,4.17,16.39,18.9
Singapore,East,2023-01-26,15.11,7.12,0.51,24.35,4.17,16.17,29.87
Singapore,North,2023-01-27,18.08,7.03,0.5,18.59,4.27,27.5,28.95
Singapore,North-East,2023-01-28,13.56,5.35,0.47,19.2,3.72,20.91,22.3
Singapore,West,2023-01-29,10.37,4.25,0.48,10.54,3.54,40.12,19.43
Singapore,Central,2023-01-30,17.47,7.37,0.56,16.94,3.63,38.18,30.83
