Country,Region,Date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
Singapore,East,2019-01-01,19.36,8.65,0.56,14.26,2.98,31.79,36.12
Singapore,North,2019-01-02,22.81,10.91,0.61,13.54,3.11,52.28,44.2
Singapore,North-East,2019-01-03,30.21,16.94,0.63,10.94,3.72,66.55,56.47
Singapore,West,2019-01-04,28.67,14.88,0.54,13.6,3.87,57.8,53.52
Singapore,Central,2019-01-05,35.26,21.13,0.67,27.36,5.32,53.22,61.15
Singapore,East,2019-01-06,30.86,16.83,0.47,13.06,5.02,31.52,55.76
Singapore,North,2019-01-07,25.58,10.59,0.4,14.04,2.79,30.75,43.56
Singapore,North-East,2019-01-08,24.81,9.93,0.42,15.85,2.7,25.35,41.14
Singapore,West,2019-01-09,26.16,10.83,0.41,14.08,2.76,26.72,44.38
Singapore,Central,2019-01-10,26.36,10.7,0.37,12.88,2.94,27.31,44.38
Singapore,East,2019-01-11,23.78,9.39,0.35,14.85,2.58,29.25,39.21
Singapore,North,2019-01-12,25.16,10.19,0.37,15.58,2.71,32.0,42.06
Singapore,North-East,2019-01-13,24.69,10.29,0.4,14.4,3.26,30.08,43.16
Singapore,West,2019-01-14,26.51,11.63,0.41,15.58,3.27,26.94,46.77
Singapore,Central,2019-01-15,29.15,12.36,0.42,16.78,4.01,27.02,49.67
Singapore,East,2019-01-16,26.24,11.43,0.42,14.78,7.44,28.67,46.67
Singapore,North,2019-01-17,21.41,9.1,0.39,14.6,4.85,20.92,37.74
Singapore,North-East,2019-01-18,15.63,6.54,0.43,17.87,3.42,15.76,27.29
Singapore,West,2019-01-19,27.72,11.45,0.46,16.74,8.6,21.79,45.22
Singapore,Central,2019-01-20,31.77,12.9,0.41,10.84,4.69,27.6,51.23
Singapore,East,2019-01-21,29.58,11.67,0.41,11.96,3.34,27.01,47.83
Singapore,North,2019-01-22,26.91,10.33,0.37,12.17,3.26,30.95,43.0
Singapore,North-East,2019-01-23,26.92,10.35,0.45,12.99,3.01,39.08,42.35
Singapore,West,2019-01-24,37.91,15.1,0.53,17.6,3.08,53.06,53.72
Singapore,Central,2019-01-25,38.2,16.42,0.54,14.22,3.11,51.06,55.92
Singapore,East,2019-01-26,35.17,15.89,0.51,11.62,3.01,50.87,55.38
Singapore,North,2019-01-27,31.59,13.81,0.44,7.31,2.98,39.19,52.1
Singapore,North-East,2019-01-28,24.77,10.08,0.43,13.98,3.27,30.88,41.8
Singapore,West,2019-01-29,26.41,11.64,0.44,11.77,3.2,35.26,46.9
Singapore,Central,2019-01-30,27.37,11.08,0.42,12.33,3.23,37.89,45.58
Singapore,East,2019-01-31,28.2,11.91,0.41,12.97,3.42,33.24,46.19
Singapore,North,2019-02-01,30.24,12.31,0.41,9.95,3.44,32.83,47.72
Singapore,North-East,2019-02-02,25.19,9.46,0.38,9.32,3.19,29.49,39.39
