Country,Region,Date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
Singapore,East,2017-01-01,20.06,9.62,0.57,15.15,3.08,20.93,39.87
Singapore,North,2017-01-02,20.72,9.26,0.55,20.12,3.64,19.49,38.68
Singapore,North-East,2017-01-03,19.86,9.87,0.64,22.41,4.7,15.66,41.11
Singapore,West,2017-01-04,15.55,7.85,0.43,18.89,4.09,23.6,32.96
Singapore,Central,2017-01-05,17.13,8.21,0.47,19.33,4.23,21.68,34.17
Singapore,East,2017-01-06,20.7,10.27,0.52,32.48,7.1,30.93,41.95
Singapore,North,2017-01-07,26.55,14.56,0.55,31.86,21.33,30.01,53.54
Singapore,North-East,2017-01-08,25.88,13.72,0.56,23.94,23.65,32.65,52.12
Singapore,West,2017-01-09,22.49,11.82,0.54,19.83,13.96,42.1,48.31
Singapore,Central,2017-01-10,26.74,13.4,0.52,19.3,8.39,39.32,52.43
Singapore,East,2017-01-11,26.66,13.96,0.55,24.6,6.02,32.61,53.06
Singapore,North,2017-01-12,28.86,16.32,0.57,25.04,8.46,30.64,55.61
Singapore,North-East,2017-01-13,31.17,18.41,0.62,28.87,8.97,39.24,58.17
Singapore,West,2017-01-14,30.56,17.34,0.64,33.3,14.33,39.15,56.84
Singapore,Central,2017-01-15,31.73,18.33,0.62,25.42,20.78,42.13,58.01
Singapore,East,2017-01-16,23.28,13.51,0.61,26.02,7.33,45.28,51.44
Singapore,North,2017-01-17,27.86,13.66,0.72,33.57,10.63,43.62,52.39
Singapore,North-East,2017-01-18,25.82,13.07,0.63,30.02,9.56,34.78,51.13
Singapore,West,2017-01-19,23.7,12.25,0.6,30.76,6.52,24.42,49.07
Singapore,Central,2017-01-20,22.41,11.93,0.68,29.17,9.05,17.83,47.51
Singapore,East,2017-01-21,22.8,12.79,0.53,28.45,19.43,20.12,49.89
Singapore,North,2017-01-22,15.44,6.85,0.53,14.97,4.99,26.65,28.54
Singapore,North-East,2017-01-23,16.29,6.32,0.57,20.4,3.97,18.62,26.35
Singapore,West,2017-01-24,13.16,5.5,0.71,21.62,3.58,15.22,22.88
Singapore,Central,2017-01-25,12.1,5.76,0.58,16.82,3.47,24.76,24.42
Singapore,East,2017-01-26,17.75,8.56,0.51,15.05,4.15,24.34,35.42
Singapore,North,2017-01-27,22.08,10.04,0.64,16.11,3.77,33.03,41.92
Singapore,North-East,2017-01-28,27.04,11.65,0.66,14.04,3.85,41.75,48.13
Singapore,West,2017-01-29,19.51,8.18,0.68,12.59,3.42,39.73,34.22
Singapore,Central,2017-01-30,18.73,7.84,0.56,13.57,3.26,27.35,32.65
Singapore,East,2017-01-31,17.7,7.67,0.53,15.13,3.73,24.66,31.99
Singapore,North,2017-02-01,22.62,10.28,0.5,17.33,3.85,29.35,42.65
Singapore,North-East,2017-02-02,30.54,16.08,0.51,23.56,4.97,42.94,55.5
Singapore,West,2017-02-03,28.56,16.33,0.47,21.22,9.72,34.66,55.56
