Country,Region,Date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
Singapore,North-East,2016-02-07,21.0,10.17,0.38,6.67,3.67,58.17,42.67
Singapore,West,2016-02-08,35.33,17.17,0.39,14.5,4.17,43.83,57.0
Singapore,Central,2016-02-09,36.73,19.19,0.41,8.37,3.85,45.58,59.09
Singapore,East,2016-02-10,30.64,16.56,0.42,12.26,4.08,31.85,55.98
Singapore,North,2016-02-11,18.08,8.78,0.38,12.26,4.21,29.44,36.21
Singapore,North-East,2016-02-12,20.88,9.02,0.42,15.7,4.19,25.19,37.43
Singapore,West,2016-02-13,23.96,10.01,0.48,12.12,4.85,21.49,42.01
Singapore,Central,2016-02-14,22.0,9.43,0.46,13.24,4.88,23.44,39.43
Singapore,East,2016-02-15,23.08,11.6,0.52,14.2,4.94,25.59,47.92
Singapore,North,2016-02-16,24.37,11.93,0.39,10.21,4.62,26.53,48.83
Singapore,North-East,2016-02-17,28.86,13.48,0.39,14.53,4.62,36.0,51.49
Singapore,West,2016-02-18,33.04,16.58,0.49,17.43,5.08,30.78,56.04
Singapore,Central,2016-02-19,22.79,11.42,0.49,20.36,4.63,16.62,45.24
Singapore,East,2016-02-20,16.73,8.62,0.61,22.22,3.72,15.55,35.82
Singapore,North,2016-02-21,27.85,13.83,0.56,13.26,4.67,32.76,52.13
Singapore,North-East,2016-02-22,27.94,13.12,0.53,15.15,4.99,36.49,51.0
Singapore,West,2016-02-23,27.27,12.74,0.45,14.51,5.78,27.62,50.56
Singapore,Central,2016-02-24,26.45,12.8,0.5,22.82,4.94,17.68,49.72
Singapore,East,2016-02-25,22.61,11.03,0.44,14.16,4.7,24.99,45.24
Singapore,North,2016-02-26,30.28,13.24,0.38,14.78,5.01,32.53,51.78
Singapore,North-East,2016-02-27,31.05,12.82,0.44,13.03,5.15,29.09,50.36
Singapore,Central,2016-02-29,29.29,12.82,0.4,9.71,4.35,31.02,51.08
Singapore,East,2016-03-01,28.6,12.76,0.44,14.74,4.41,30.51,50.78
Singapore,North,2016-03-02,26.93,12.62,1.16,11.57,3.37,29.54,50.4
Singapore,North-East,2016-03-03,29.01,13.21,0.45,12.91,3.9,28.86,51.19
Singapore,West,2016-03-04,29.61,13.81,0.45,14.13,3.56,24.75,52.25
Singapore,Central,2016-03-05,23.08,10.61,0.47,13.86,3.66,24.84,44.09
Singapore,East,2016-03-06,22.52,10.62,0.47,10.08,5.93,31.18,44.47
Singapore,North,2016-03-07,20.79,10.4,0.49,14.1,5.4,29.27,43.42
Singapore,North-East,2016-03-08,24.51,13.26,0.52,29.79,4.73,23.5,51.73
Singapore,West,2016-03-09,23.11,12.25,0.48,20.04,6.15,28.22,49.33
Singapore,Central,2016-03-10,24.01,12.11,0.47,28.77,8.2,32.72,48.14
Singapore,East,2016-03-11,26.09,13.92,0.44,21.49,5.67,28.37,52.44
Singapore,North,2016-03-12,22.51,12.59,0.4,19.11,3.9,34.94,50.42
Singapore,North-East,2016-03-13,23.3,12.3,0.44,19.73,3.03,32.51,48.67
Singapore,West,2016-03-14,24.83,13.02,0.49,23.04,4.05,30.25,50.9
Singapore,Central,2016-03-15,25.74,15.12,0.45,16.09,4.64,31.78,54.41
Singapore,East,2016-03-16,26.35,15.94,0.52,23.33,5.35,38.96,55.24
Singapore,North,2016-03-17,28.26,17.45,0.43,21.06,10.45,40.94,57.06
Singapore,North-East,2016-03-18,30.74,18.45,0.48,19.14,7.51,44.47,58.16
Singapore,West,2016-03-19,31.91,20.22,0.49,24.55,6.31,54.69,60.18
Singapore,Central,2016-03-20,33.34,20.6,0.51,20.4,5.23,55.92,60.62
Singapore,East,2016-03-21,36.66,22.8,0.57,31.74,5.17,47.4,63.12
Singapore,North,2016-03-22,35.41,21.92,0.56,34.04,6.48,39.97,62.07
Singapore,North-East,2016-03-23,32.69,20.95,0.68,35.05,8.49,33.02,61.07
Singapore,West,2016-03-24,31.51,19.97,0.49,23.49,8.89,53.71,59.85
Singapore,Central,2016-03-25,32.53,22.09,0.56,19.08,6.72,54.35,62.3
Singapore,East,2016-03-26,31.27,20.15,0.5,15.08,8.02,35.09,60.01
Singapore,North,2016-03-27,32.31,18.57,0.33,7.92,3.26,38.59,58.33
Singapore,North-East,2016-03-28,35.05,20.24,0.38,11.79,2.9,42.11,60.22
Singapore,West,2016-03-29,43.97,25.0,0.57,18.38,3.77,58.03,65.61
Singapore,Central,2016-03-30,57.28,33.87,0.55,14.81,4.94,51.69,75.63
Singapore,East,2016-03-31,50.88,31.67,0.52,17.97,4.42,47.69,73.21
Singapore,North,2016-04-01,48.37,30.66,0.58,15.25,4.33,40.29,72.02
Singapore,North-East,2016-04-02,36.92,22.96,0.48,15.06,4.9,43.6,63.26
Singapore,West,2016-04-03,30.64,18.26,0.45,15.57,4.39,30.84,57.95
