Country,Region,Date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
Singapore,East,2018-01-01,13.42,6.39,0.48,20.83,4.01,22.24,26.39
Singapore,North,2018-01-02,12.35,5.44,0.5,26.28,4.42,19.47,22.58
Singapore,North-East,2018-01-03,20.94,9.93,0.6,32.16,5.03,20.1,40.82
Singapore,West,2018-01-04,21.12,10.69,0.56,27.05,5.75,20.7,44.31
Singapore,Central,2018-01-05,20.58,10.67,0.56,30.27,6.19,20.35,43.45
Singapore,East,2018-01-06,26.92,15.35,0.64,37.09,11.06,33.03,53.94
Singapore,North,2018-01-07,28.12,17.15,0.47,29.25,16.26,39.83,56.62
Singapore,North-East,2018-01-08,22.42,13.12,0.53,33.24,9.06,28.43,49.55
Singapore,West,2018-01-09,23.34,13.03,0.51,31.42,8.59,35.49,51.58
Singapore,Central,2018-01-10,22.55,12.4,0.57,29.56,6.01,11.09,49.39
Singapore,East,2018-01-11,16.65,7.78,0.52,22.7,3.93,13.4,32.17
Singapore,North,2018-01-12,12.29,5.47,0.52,23.08,3.15,25.56,23.03
Singapore,North-East,2018-01-13,11.56,5.16,0.59,27.0,3.12,32.6,22.5
Singapore,West,2018-01-14,15.65,7.18,0.54,21.12,3.12,47.42,31.17
Singapore,Central,2018-01-15,15.97,7.15,0.54,28.31,2.58,37.78,29.94
Singapore,East,2018-01-16,19.56,9.38,0.49,31.31,2.66,40.71,39.15
Singapore,North,2018-01-17,23.4,9.51,0.42,27.97,3.15,37.49,39.69
Singapore,North-East,2018-01-18,24.77,9.83,0.43,30.79,3.4,39.44,41.4
Singapore,West,2018-01-19,28.26,12.88,0.51,33.99,3.26,37.56,49.61
Singapore,Central,2018-01-20,27.49,13.09,0.6,39.9,4.74,30.56,50.47
Singapore,East,2018-01-21,27.32,12.21,0.55,30.17,6.67,31.69,48.15
Singapore,North,2018-01-22,22.35,9.17,0.5,30.39,7.19,37.58,38.62
Singapore,North-East,2018-01-23,25.76,10.9,0.52,30.47,3.11,25.39,45.01
Singapore,West,2018-01-24,22.56,9.9,0.56,32.91,3.59,25.12,41.15
Singapore,Central,2018-01-25,21.74,9.26,0.52,28.93,4.82,22.74,38.55
Singapore,East,2018-01-26,26.99,12.22,0.51,27.76,6.41,19.19,47.83
Singapore,North,2018-01-27,25.37,11.59,0.55,21.63,4.26,15.66,47.02
Singapore,North-East,2018-01-28,22.64,10.04,0.53,20.7,4.14,29.12,41.8
Singapore,West,2018-01-29,25.01,10.88,0.61,24.94,5.17,26.86,45.51
Singapore,Central,2018-01-30,25.27,12.67,0.57,25.91,6.79,35.43,48.56
Singapore,East,2018-01-31,28.63,15.2,0.51,21.79,6.56,26.88,52.97
Singapore,North,2018-02-01,26.36,12.42,0.58,17.23,5.35,30.53,49.27
Singapore,North-East,2018-02-02,23.78,10.17,0.58,21.12,2.93,23.76,41.38
Singapore,West,2018-02-03,24.15,10.47,0.63,24.58,3.56,29.49,42.75
Singapore,Central,2018-02-04,48.53,15.51,0.59,14.32,4.61,63.11,56.34
Singapore,East,2018-02-05,46.18,15.86,0.56,20.27,2.55,62.19,56.1
Singapore,North,2018-02-06,40.28,15.4,0.53,25.26,2.37,63.88,54.65
Singapore,North-East,2018-02-07,40.06,16.77,0.56,30.51,2.78,62.33,56.33
Singapore,West,2018-02-08,38.94,17.91,0.57,24.27,3.0,67.63,57.54
Singapore,Central,2018-02-09,46.01,24.66,0.57,24.46,3.25,88.12,65.23
Singapore,East,2018-02-10,44.65,24.44,0.53,24.99,3.53,71.16,64.99
Singapore,North,2018-02-11,41.87,21.76,0.56,17.8,3.55,78.85,61.94
Singapore,North-East,2018-02-12,44.03,25.65,0.54,20.26,3.76,71.17,66.34
Singapore,West,2018-02-13,38.18,15.74,0.5,24.62,3.35,46.0,54.91
Singapore,Central,2018-02-14,32.54,12.83,0.5,22.21,3.31,45.16,50.03
Singapore,East,2018-02-15,43.28,17.83,0.53,20.31,4.94,45.81,57.47
Singapore,North,2018-02-16,36.37,21.26,0.58,25.31,11.12,58.84,61.35
Singapore,North-East,2018-02-17,33.18,20.51,0.56,16.1,14.24,57.69,60.62
Singapore,West,2018-02-18,34.04,22.08,0.6,17.06,13.45,56.96,62.28
Singapore,Central,2018-02-19,34.41,21.87,0.48,20.53,8.49,41.65,62.03
Singapore,East,2018-02-20,27.6,13.95,0.44,18.43,3.84,42.4,51.72
Singapore,North,2018-02-21,31.95,15.49,0.41,19.43,4.24,43.94,54.84
Singapore,North-East,2018-02-22,30.44,13.94,0.42,19.58,5.71,39.49,52.19
Singapore,West,2018-02-23,28.05,12.78,0.46,25.08,8.74,25.28,49.99
Singapore,Central,2018-02-24,25.99,12.74,0.64,23.15,6.2,18.58,48.47
Singapore,East,2018-02-25,22.89,9.51,0.46,19.37,3.75,24.48,39.33
Singapore,North,2018-02-26,31.24,13.58,0.43,20.21,3.6,32.45,50.9
Singapore,North-East,2018-02-27,33.06,15.51,0.47,16.38,3.44,30.14,54.61
Singapore,West,2018-02-28,29.68,14.03,0.46,18.57,3.48,25.97,52.62
Singapore,Central,2018-03-01,29.4,13.33,0.51,21.12,6.33,18.29,50.77
Singapore,East,2018-03-02,23.25,10.38,0.54,26.96,5.46,27.58,42.96
Singapore,North,2018-03-03,22.85,10.67,0.49,26.74,7.78,34.81,42.39
Singapore,North-East,2018-03-04,25.92,13.14,0.6,27.51,9.03,31.21,49.14
Singapore,West,2018-03-05,22.61,10.76,0.47,13.54,6.78,28.22,44.27
Singapore,Central,2018-03-06,26.34,13.01,0.47,24.43,6.98,38.31,49.84
Singapore,East,2018-03-07,25.73,12.21,0.47,24.67,14.72,19.85,48.62
Singapore,North,2018-03-08,21.04,9.86,0.55,23.83,6.56,15.45,41.22
Singapore,North-East,2018-03-09,25.98,11.61,0.44,14.42,4.21,26.44,48.28
Singapore,West,2018-03-10,27.98,11.37,0.43,12.03,3.5,29.98,46.97
Singapore,Central,2018-03-11,36.67,14.35,0.48,12.06,3.49,36.27,53.48
Singapore,East,2018-03-12,38.24,15.63,0.53,14.71,3.64,38.07,55.03
Singapore,North,2018-03-13,37.28,16.2,0.52,15.15,3.51,33.54,55.69
Singapore,North-East,2018-03-14,33.72,15.02,0.53,18.62,4.4,37.81,54.29
Singapore,West,2018-03-15,31.54,14.88,0.53,25.96,9.81,48.69,55.52
Singapore,Central,2018-03-16,32.22,15.36,0.52,18.71,18.45,36.13,54.53
Singapore,East,2018-03-17,27.08,13.69,0.44,16.35,9.24,43.78,50.98
Singapore,North,2018-03-18,23.8,11.44,0.44,13.69,7.29,40.63,46.09
Singapore,North-East,2018-03-19,22.58,10.38,0.45,17.88,5.63,43.1,43.01
Singapore,West,2018-03-20,25.97,12.47,0.42,25.76,11.32,39.76,49.64
Singapore,Central,2018-03-21,35.19,18.97,0.55,40.67,8.51,37.75,58.7
Singapore,East,2018-03-22,31.21,16.69,0.44,19.4,7.6,33.49,56.12
Singapore,North,2018-03-23,25.97,12.9,0.42,19.61,3.51,36.58,49.86
Singapore,North-East,2018-03-24,25.53,13.22,0.47,18.88,3.72,33.14,50.21
Singapore,West,2018-03-25,33.2,16.54,0.49,18.58,3.55,39.38,56.01
Singapore,Central,2018-03-26,24.38,12.91,0.51,27.62,3.61,25.22,50.42
Singapore,East,2018-03-27,21.74,10.58,0.6,34.22,4.15,20.26,44.17
Singapore,North,2018-03-28,24.44,11.78,0.75,45.31,7.12,33.89,46.07
Singapore,North-East,2018-03-29,31.84,16.09,0.74,46.72,8.99,22.27,54.78
Singapore,West,2018-03-30,33.83,16.7,0.79,50.72,13.62,32.49,55.89
Singapore,Central,2018-03-31,43.04,22.33,0.97,43.3,9.44,33.8,62.35
Singapore,East,2018-04-01,43.25,25.25,0.71,30.48,8.28,57.62,65.97
Singapore,North,2018-04-02,45.17,26.14,0.75,30.65,6.65,40.85,66.92
Singapore,North-East,2018-04-03,40.72,22.35,0.54,25.92,6.48,53.51,62.58
Singapore,West,2018-04-04,40.5,21.7,0.51,28.01,10.03,62.42,62.02
Singapore,Central,2018-04-05,35.64,19.21,0.53,29.87,6.97,45.29,59.18
Singapore,East,2018-04-06,32.93,18.25,0.57,26.07,6.51,41.65,57.94
Singapore,North,2018-04-07,32.52,17.04,0.56,20.45,6.46,41.92,56.54
Singapore,North-East,2018-04-08,32.94,16.41,0.56,14.92,5.67,43.08,55.89
Singapore,West,2018-04-09,29.99,14.22,0.52,16.28,3.14,39.93,52.51
Singapore,Central,2018-04-10,32.74,15.0,0.56,26.58,4.38,35.45,54.18
Singapore,East,2018-04-11,31.08,16.1,0.53,23.98,7.0,23.21,55.46
Singapore,North,2018-04-12,27.35,14.23,0.48,23.02,7.06,41.86,52.86
Singapore,North-East,2018-04-13,25.12,11.35,0.44,19.14,7.52,30.65,45.86
Singapore,West,2018-04-14,26.13,11.71,0.47,31.97,4.01,31.97,47.83
Singapore,Central,2018-04-15,34.67,18.13,0.75,36.88,9.6,25.92,57.73
Singapore,East,2018-04-16,25.47,12.12,0.62,31.1,5.04,14.72,47.38
Singapore,North,2018-04-17,28.46,13.2,0.67,27.86,6.47,22.07,49.85
Singapore,North-East,2018-04-18,26.07,11.87,0.5,20.68,4.53,29.2,47.5
Singapore,West,2018-04-19,25.8,11.33,0.44,27.45,4.12,30.99,46.01
Singapore,Central,2018-04-20,27.85,13.24,0.48,23.33,4.94,26.43,50.81
Singapore,East,2018-04-21,25.61,11.59,0.61,31.53,6.13,19.5,46.73
Singapore,North,2018-04-22,30.34,16.33,0.65,24.83,5.33,21.84,55.58
Singapore,North-East,2018-04-23,28.98,15.37,0.59,30.73,4.73,26.02,54.65
Singapore,West,2018-04-24,31.42,16.83,0.71,38.21,9.6,31.15,55.53
Singapore,Central,2018-04-25,33.39,19.45,0.59,30.73,10.81,42.91,59.23
Singapore,East,2018-04-26,31.9,16.95,0.54,36.81,9.9,43.62,56.34
Singapore,North,2018-04-27,32.49,17.94,0.59,36.26,13.79,27.35,57.65
Singapore,North-East,2018-04-28,33.13,17.52,0.68,36.29,14.28,28.55,57.15
Singapore,West,2018-04-29,32.97,17.74,0.69,27.75,16.49,28.86,57.15
Singapore,Central,2018-04-30,23.27,10.69,0.45,28.89,15.68,23.44,43.44
Singapore,East,2018-05-01,30.19,14.42,0.59,29.84,11.54,14.6,52.88
Singapore,North,2018-05-02,31.65,16.34,0.71,37.59,10.42,28.06,55.46
Singapore,North-East,2018-05-03,40.4,23.01,0.85,39.4,14.74,27.92,63.35
Singapore,West,2018-05-04,41.96,24.06,0.84,40.83,19.76,31.76,64.6
Singapore,Central,2018-05-05,31.77,18.55,0.55,36.64,18.91,27.24,57.73
Singapore,East,2018-05-06,34.0,20.53,0.66,35.26,14.71,27.72,60.41
Singapore,North,2018-05-07,36.49,19.33,0.62,34.44,22.51,26.41,59.15
Singapore,North-East,2018-05-08,30.82,15.6,0.43,27.29,23.52,29.52,54.94
Singapore,West,2018-05-09,26.15,12.13,0.38,25.07,13.62,31.97,48.23
Singapore,Central,2018-05-10,22.99,9.51,0.42,31.57,11.23,23.35,39.63
Singapore,East,2018-05-11,24.94,10.74,0.45,33.24,13.11,20.46,44.05
Singapore,North,2018-05-12,25.08,12.04,0.48,29.33,14.53,21.24,46.47
Singapore,North-East,2018-05-13,22.79,10.57,0.51,30.11,15.99,22.06,43.73
Singapore,West,2018-05-14,21.85,10.16,0.49,34.62,11.53,22.24,42.59
Singapore,Central,2018-05-15,22.78,10.12,0.5,38.68,16.02,20.28,42.05
Singapore,East,2018-05-16,23.49,11.06,0.58,42.77,13.65,21.4,44.2
Singapore,North,2018-05-17,34.12,18.69,0.9,57.53,10.87,19.94,57.56
Singapore,North-East,2018-05-18,31.05,17.25,0.53,34.06,13.24,22.75,55.47
Singapore,West,2018-05-19,29.53,15.6,0.7,46.56,11.08,20.55,53.58
Singapore,Central,2018-05-20,49.66,30.06,0.86,58.42,17.23,19.35,71.25
Singapore,East,2018-05-21,42.33,26.88,0.56,50.02,22.05,27.03,67.8
Singapore,North,2018-05-22,34.54,19.9,0.5,40.3,14.49,19.65,58.28
Singapore,North-East,2018-05-23,34.73,20.22,0.58,45.88,12.86,15.98,59.94
Singapore,West,2018-05-24,26.94,14.06,0.42,30.28,18.27,33.17,49.81
Singapore,Central,2018-05-25,27.16,12.33,0.48,31.06,12.55,29.7,49.06
Singapore,East,2018-05-26,27.29,12.6,0.5,35.13,11.01,18.56,49.26
Singapore,North,2018-05-27,25.86,13.17,0.54,35.51,11.58,19.94,49.87
Singapore,North-East,2018-05-28,25.22,12.03,0.5,37.79,19.32,14.67,47.55
Singapore,West,2018-05-29,24.57,12.06,0.49,32.69,15.93,21.9,47.82
Singapore,Central,2018-05-30,29.11,15.99,0.53,39.53,23.43,18.1,55.21
Singapore,East,2018-05-31,31.51,16.87,0.61,40.16,16.67,11.24,56.3
Singapore,North,2018-06-01,32.49,16.51,0.58,31.59,21.39,16.03,55.41
Singapore,North-East,2018-06-02,33.1,15.99,0.64,52.43,17.81,26.91,55.07
Singapore,West,2018-06-03,43.76,26.3,0.59,38.53,17.12,44.87,67.01
Singapore,Central,2018-06-04,31.45,18.19,0.45,28.28,17.86,27.78,57.2
Singapore,East,2018-06-05,27.41,13.14,0.48,29.17,34.28,22.08,51.06
Singapore,North,2018-06-06,33.2,17.55,0.48,30.78,31.15,26.31,57.08
Singapore,North-East,2018-06-07,34.87,18.43,0.47,28.68,39.74,31.76,58.55
Singapore,West,2018-06-08,37.01,21.39,0.48,34.56,26.43,28.33,61.51
Singapore,Central,2018-06-09,36.31,21.38,0.58,35.95,28.75,23.42,61.28
Singapore,East,2018-06-10,38.99,24.61,0.49,26.24,32.67,25.03,65.11
Singapore,North,2018-06-11,32.08,17.88,0.48,23.58,33.8,27.23,57.55
Singapore,North-East,2018-06-12,33.3,17.32,0.49,27.43,38.94,25.29,57.22
Singapore,West,2018-06-13,29.61,13.32,0.48,29.51,42.72,11.8,53.1
Singapore,Central,2018-06-14,27.11,12.24,0.64,30.91,33.4,9.97,49.21
Singapore,East,2018-06-15,24.23,11.33,0.58,31.78,38.07,9.09,47.99
Singapore,North,2018-06-16,25.21,12.63,0.66,24.99,35.76,16.41,50.06
