Country,Region,Date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
Singapore,East,2021-01-01,29.17,12.4,0.59,12.5,3.75,39.27,45.25
Singapore,Central,2021-01-05,20.04,7.33,0.38,26.17,3.29,27.17,26.83
Singapore,East,2021-01-06,20.4,7.96,0.37,16.72,3.15,14.85,29.3
Singapore,North,2021-01-07,18.78,6.48,0.4,19.83,3.08,9.24,24.15
Singapore,North-East,2021-01-08,21.67,8.74,0.43,21.16,3.25,17.02,32.79
Singapore,West,2021-01-09,25.15,10.71,0.42,14.58,2.91,32.65,36.74
Singapore,Central,2021-01-10,18.51,6.92,0.5,18.42,2.83,29.59,25.47
Singapore,East,2021-01-11,17.58,6.62,0.47,11.83,2.83,45.59,24.14
Singapore,North,2021-01-12,23.06,9.61,0.44,13.87,2.83,43.89,33.15
Singapore,North-East,2021-01-13,24.98,10.47,0.47,17.09,2.87,43.9,36.33
Singapore,West,2021-01-14,27.8,12.14,0.53,19.28,3.46,44.77,41.09
Singapore,Central,2021-01-15,34.85,17.76,0.54,16.85,3.56,62.78,55.15
Singapore,East,2021-01-16,32.2,15.32,0.43,15.01,3.76,48.6,52.98
Singapore,North,2021-01-17,32.92,13.04,0.39,7.54,3.57,41.34,47.2
Singapore,North-East,2021-01-18,37.14,13.9,0.38,10.54,3.67,58.85,50.49
Singapore,West,2021-01-19,41.83,15.88,0.42,12.94,3.57,48.26,54.35
Singapore,Central,2021-01-20,38.33,16.17,0.52,14.27,3.61,53.7,54.77
Singapore,East,2021-01-21,35.58,17.12,0.58,18.6,3.53,58.67,55.76
Singapore,North,2021-01-22,29.9,14.4,0.56,25.32,3.4,34.88,52.1
Singapore,North-East,2021-01-23,29.76,13.94,0.58,21.36,3.51,36.34,52.29
Singapore,West,2021-01-24,21.36,8.72,0.51,13.1,3.5,30.77,34.53
Singapore,Central,2021-01-25,22.56,7.96,0.47,15.97,3.38,33.44,30.6
Singapore,East,2021-01-26,24.29,8.85,0.44,15.22,4.04,30.04,34.28
Singapore,North,2021-01-27,24.06,9.24,0.42,18.08,4.71,24.49,37.25
Singapore,North-East,2021-01-28,23.85,9.08,0.4,15.34,4.18,21.0,36.44
Singapore,West,2021-01-29,30.74,10.79,0.39,11.27,3.2,30.49,42.75
Singapore,Central,2021-01-30,33.43,12.18,0.43,11.12,3.28,37.88,45.84
Singapore,East,2021-01-31,35.87,14.29,0.49,10.53,3.58,44.49,51.12
Singapore,North,2021-02-01,34.55,12.26,0.48,12.74,3.72,41.58,47.65
Singapore,North-East,2021-02-02,35.82,12.0,0.45,11.92,3.83,41.1,45.56
Singapore,West,2021-02-03,33.62,11.08,0.43,12.0,3.7,40.79,43.57
Singapore,Central,2021-02-04,37.41,12.67,0.42,13.97,3.75,41.19,49.38
Singapore,East,2021-02-05,32.78,10.6,0.41,15.86,3.99,29.47,41.2
Singapore,North,2021-02-06,33.33,11.53,0.45,11.35,4.0,38.3,44.43
Singapore,North-East,2021-02-07,34.18,11.65,0.46,8.71,4.0,33.35,44.01
Singapore,West,2021-02-08,29.83,10.1,0.46,12.7,4.0,26.17,38.79
Singapore,Central,2021-02-09,32.01,11.1,0.45,16.78,4.26,29.49,41.51
Singapore,East,2021-02-10,32.63,11.6,0.44,16.1,4.68,24.28,44.84
Singapore,North,2021-02-11,30.71,10.35,0.44,13.29,4.15,22.88,40.54
Singapore,North-East,2021-02-12,28.64,10.03,0.44,9.78,3.95,29.99,39.4
