Country,Region,Date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
Singapore,East,2024-01-01,19.27,8.28,1.0,14.86,2.34,10.27,34.37
Singapore,North,2024-01-02,16.8,6.54,1.0,12.33,2.04,14.1,27.47
Singapore,North-East,2024-01-03,17.77,7.35,1.0,15.05,2.28,15.32,30.48
Singapore,West,2024-01-04,16.19,7.06,1.0,25.26,3.19,12.82,29.51
Singapore,Central,2024-01-05,12.79,5.34,1.0,14.74,2.67,17.59,22.29
Singapore,East,2024-01-06,17.62,7.18,1.0,15.68,2.59,23.08,30.03
Singapore,North,2024-01-07,13.69,6.28,1.0,16.06,2.68,16.05,26.3
Singapore,North-East,2024-01-08,12.91,5.62,1.0,21.78,2.97,14.88,23.27
Singapore,West,2024-01-09,16.47,7.24,1.0,17.91,2.42,13.57,30.04
Singapore,Central,2024-01-10,13.23,5.48,1.0,14.91,2.47,16.82,22.7
Singapore,East,2024-01-11,18.42,8.26,1.0,17.41,2.27,14.25,34.2
Singapore,North,2024-01-12,23.8,9.7,1.0,15.37,2.46,15.43,40.61
Singapore,North-East,2024-01-13,21.12,9.5,1.0,18.64,2.69,14.78,38.4
Singapore,West,2024-01-14,32.11,13.52,1.0,10.58,2.64,24.98,51.42
Singapore,Central,2024-01-15,24.94,9.93,1.0,13.28,2.88,22.71,40.5
Singapore,East,2024-01-16,20.42,7.48,1.0,14.15,3.09,16.19,31.03
Singapore,North,2024-01-17,19.68,8.19,1.0,12.31,3.03,20.0,34.17
Singapore,North-East,2024-01-18,24.61,10.11,1.0,15.35,2.96,15.56,39.68
Singapore,West,2024-01-19,32.15,13.67,1.0,21.8,2.27,14.37,50.68
Singapore,Central,2024-01-20,26.33,10.16,1.0,22.37,2.4,8.82,42.44
Singapore,East,2024-01-21,21.8,9.09,1.0,19.69,2.46,24.06,36.87
Singapore,North,2024-01-22,20.98,8.69,1.0,24.43,2.68,24.42,35.5
Singapore,North-East,2024-01-23,24.65,8.54,1.0,21.32,2.52,20.8,37.59
Singapore,West,2024-01-24,27.27,9.52,1.0,21.72,2.19,11.56,41.3
Singapore,Central,2024-01-25,22.59,8.5,1.0,18.86,1.99,13.82,36.4
Singapore,East,2024-01-26,24.07,9.04,1.0,14.09,2.0,18.5,38.28
Singapore,North,2024-01-27,37.2,11.14,1.0,9.57,2.0,28.12,49.64
Singapore,North-East,2024-01-28,31.8,11.49,1.0,8.31,2.18,26.94,46.23
Singapore,West,2024-01-29,32.14,13.08,1.0,10.16,2.39,28.51,48.93
Singapore,Central,2024-01-30,34.38,14.91,1.0,13.48,2.81,25.7,52.78
