Country,Region,Date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI
Singapore,East,2020-01-01,22.78,8.31,0.49,8.99,2.67,36.12,35.17
Singapore,North,2020-01-02,26.02,8.99,0.5,13.69,2.71,28.3,37.36
Singapore,North-East,2020-01-03,29.69,10.48,0.53,12.66,3.05,30.49,43.57
Singapore,West,2020-01-04,27.2,10.17,0.53,11.35,3.25,29.94,42.31
Singapore,Central,2020-01-05,27.94,10.41,0.49,8.88,3.17,29.25,43.49
Singapore,East,2020-01-06,27.25,10.08,0.51,15.01,3.01,29.35,42.12
Singapore,North,2020-01-07,17.08,6.67,0.56,13.5,3.03,25.94,27.87
Singapore,North-East,2020-01-08,18.98,7.24,0.59,13.88,3.17,24.83,30.53
Singapore,West,2020-01-09,24.85,9.26,0.59,11.94,3.23,29.8,38.54
Singapore,Central,2020-01-10,27.38,10.51,0.55,17.82,3.1,22.36,43.58
Singapore,East,2020-01-11,27.92,11.39,0.53,16.85,3.17,22.47,46.9
Singapore,North,2020-01-12,29.08,12.46,0.52,19.83,3.47,34.16,49.94
Singapore,North-East,2020-01-13,30.53,14.65,0.54,13.72,4.33,36.29,53.73
Singapore,West,2020-01-14,27.78,11.53,0.5,12.01,3.11,33.16,47.43
Singapore,Central,2020-01-15,28.14,10.94,0.49,15.02,2.84,31.75,45.62
Singapore,East,2020-01-16,31.8,14.31,0.51,16.82,3.28,32.87,52.48
Singapore,North,2020-01-17,43.69,26.65,0.52,13.69,4.32,22.88,67.45
Singapore,North-East,2020-01-18,33.32,18.31,0.51,15.53,3.5,21.36,58.0
Singapore,West,2020-01-19,23.62,10.67,0.49,11.72,3.39,23.49,43.96
Singapore,Central,2020-01-20,27.43,12.9,0.5,13.55,3.48,22.99,50.42
Singapore,East,2020-01-21,22.81,10.17,0.5,16.64,3.22,19.79,41.63
Singapore,North,2020-01-22,27.79,12.15,0.53,13.38,3.17,27.26,46.83
Singapore,North-East,2020-01-23,25.06,10.07,0.54,12.04,3.24,28.69,42.08
Singapore,West,2020-01-24,23.99,9.61,0.52,10.33,3.05,34.61,40.21
Singapore,Central,2020-01-25,25.19,10.49,0.5,9.56,3.0,40.85,42.71
Singapore,East,2020-01-26,25.73,11.06,0.52,12.22,3.4,41.98,44.13
Singapore,North,2020-01-27,23.4,10.1,0.53,13.4,4.28,35.31,41.32
