Country,Region,Date,Temperature,reading_type,station_name
Singapore,East,2018-01-01,23.98,DBT 1M F,Singapore_National
Singapore,North,2018-01-02,24.76,DBT 1M F,Singapore_National
Singapore,North-East,2018-01-03,24.94,DBT 1M F,Singapore_National
Singapore,West,2018-01-04,25.74,DBT 1M F,Singapore_National
Singapore,Central,2018-01-05,25.33,DBT 1M F,Singapore_National
Singapore,East,2018-01-06,26.61,DBT 1M F,Singapore_National
Singapore,North,2018-01-07,26.04,DBT 1M F,Singapore_National
Singapore,North-East,2018-01-08,25.96,DBT 1M F,Singapore_National
Singapore,West,2018-01-09,25.57,DBT 1M F,Singapore_National
Singapore,Central,2018-01-10,24.13,DBT 1M F,Singapore_National
Singapore,East,2018-01-11,22.87,DBT 1M F,Singapore_National
Singapore,North,2018-01-12,22.53,DBT 1M F,Singapore_National
Singapore,North-East,2018-01-13,22.54,DBT 1M F,Singapore_National
Singapore,West,2018-01-14,22.8,DBT 1M F,Singapore_National
Singapore,Central,2018-01-15,24.05,DBT 1M F,Singapore_National
Singapore,East,2018-01-16,25.06,DBT 1M F,Singapore_National
Singapore,North,2018-01-17,25.73,DBT 1M F,Singapore_National
Singapore,North-East,2018-01-18,25.94,DBT 1M F,Singapore_National
Singapore,West,2018-01-19,25.59,DBT 1M F,Singapore_National
Singapore,Central,2018-01-20,25.46,DBT 1M F,Singapore_National
Singapore,East,2018-01-21,26.03,DBT 1M F,Singapore_National
Singapore,North,2018-01-22,26.0,DBT 1M F,Singapore_National
Singapore,North-East,2018-01-23,25.7,DBT 1M F,Singapore_National
Singapore,West,2018-01-24,25.4,DBT 1M F,Singapore_National
Singapore,Central,2018-01-25,25.91,DBT 1M F,Singapore_National
Singapore,East,2018-01-26,25.61,DBT 1M F,Singapore_National
Singapore,North,2018-01-27,26.15,DBT 1M F,Singapore_National
Singapore,North-East,2018-01-28,26.16,DBT 1M F,Singapore_National
Singapore,West,2018-01-29,26.62,DBT 1M F,Singapore_National
