Country,Region,Date,Temperature,reading_type,station_name
Singapore,East,2019-01-01,26.39,DBT 1M F,Singapore_National
Singapore,North,2019-01-02,26.7,DBT 1M F,Singapore_National
Singapore,North-East,2019-01-03,27.71,DBT 1M F,Singapore_National
Singapore,West,2019-01-04,27.24,DBT 1M F,Singapore_National
Singapore,Central,2019-01-05,26.79,DBT 1M F,Singapore_National
Singapore,East,2019-01-06,26.52,DBT 1M F,Singapore_National
Singapore,North,2019-01-07,26.77,DBT 1M F,Singapore_National
Singapore,North-East,2019-01-08,25.77,DBT 1M F,Singapore_National
Singapore,West,2019-01-09,26.12,DBT 1M F,Singapore_National
Singapore,Central,2019-01-10,26.66,DBT 1M F,Singapore_National
Singapore,East,2019-01-11,26.35,DBT 1M F,Singapore_National
Singapore,North,2019-01-12,26.7,DBT 1M F,Singapore_National
Singapore,North-East,2019-01-13,26.74,DBT 1M F,Singapore_National
Singapore,West,2019-01-14,25.94,DBT 1M F,Singapore_National
Singapore,Central,2019-01-15,26.45,DBT 1M F,Singapore_National
Singapore,East,2019-01-16,26.23,DBT 1M F,Singapore_National
Singapore,North,2019-01-17,25.33,DBT 1M F,Singapore_National
Singapore,North-East,2019-01-18,25.26,DBT 1M F,Singapore_National
Singapore,West,2019-01-19,26.28,DBT 1M F,Singapore_National
Singapore,Central,2019-01-20,26.48,DBT 1M F,Singapore_National
Singapore,East,2019-01-21,26.08,DBT 1M F,Singapore_National
Singapore,North,2019-01-22,25.7,DBT 1M F,Singapore_National
Singapore,North-East,2019-01-23,26.03,DBT 1M F,Singapore_National
Singapore,West,2019-01-24,26.09,DBT 1M F,Singapore_National
Singapore,Central,2019-01-25,26.07,DBT 1M F,Singapore_National
Singapore,East,2019-01-26,25.92,DBT 1M F,Singapore_National
Singapore,North,2019-01-27,26.27,DBT 1M F,Singapore_National
Singapore,North-East,2019-01-28,25.39,DBT 1M F,Singapore_National
Singapore,West,2019-01-29,26.13,DBT 1M F,Singapore_National
Singapore,Central,2019-01-30,26.14,DBT 1M F,Singapore_National
Singapore,East,2019-01-31,26.22,DBT 1M F,Singapore_National
Singapore,North,2019-02-01,26.56,DBT 1M F,Singapore_National
Singapore,North-East,2019-02-02,26.52,DBT 1M F,Singapore_National
Singapore,West,2019-02-03,26.43,DBT 1M F,Singapore_National
Singapore,Central,2019-02-04,26.82,DBT 1M F,Singapore_National
Singapore,East,2019-02-05,26.05,DBT 1M F,Singapore_National
Singapore,North,2019-02-06,26.22,DBT 1M F,Singapore_National
Singapore,North-East,2019-02-07,26.69,DBT 1M F,Singapore_National
Singapore,West,2019-02-08,26.98,DBT 1M F,Singapore_National
Singapore,Central,2019-02-09,26.86,DBT 1M F,Singapore_National
Singapore,East,2019-02-10,26.57,DBT 1M F,Singapore_National
Singapore,North,2019-02-11,26.33,DBT 1M F,Singapore_National
Singapore,North-East,2019-02-12,27.28,DBT 1M F,Singapore_National
Singapore,West,2019-02-13,27.2,DBT 1M F,Singapore_National
Singapore,Central,2019-02-14,27.09,DBT 1M F,Singapore_National
Singapore,East,2019-02-15,26.95,DBT 1M F,Singapore_National
Singapore,North,2019-02-16,27.5,DBT 1M F,Singapore_National
Singapore,North-East,2019-02-17,26.94,DBT 1M F,Singapore_National
Singapore,West,2019-02-18,26.35,DBT 1M F,Singapore_National
Singapore,Central,2019-02-19,27.33,DBT 1M F,Singapore_National
Singapore,East,2019-02-20,27.34,DBT 1M F,Singapore_National
Singapore,North,2019-02-21,27.74,DBT 1M F,Singapore_National
Singapore,North-East,2019-02-22,27.39,DBT 1M F,Singapore_National
Singapore,West,2019-02-23,27.73,DBT 1M F,Singapore_National
Singapore,Central,2019-02-24,27.82,DBT 1M F,Singapore_National
Singapore,East,2019-02-25,28.08,DBT 1M F,Singapore_National
Singapore,North,2019-02-26,27.24,DBT 1M F,Singapore_National
Singapore,North-East,2019-02-27,28.01,DBT 1M F,Singapore_National
Singapore,West,2019-02-28,27.83,DBT 1M F,Singapore_National
Singapore,Central,2019-03-01,27.48,DBT 1M F,Singapore_National
Singapore,East,2019-03-02,27.93,DBT 1M F,Singapore_National
Singapore,North,2019-03-03,27.72,DBT 1M F,Singapore_National
Singapore,North-East,2019-03-04,27.88,DBT 1M F,Singapore_National
Singapore,West,2019-03-05,27.64,DBT 1M F,Singapore_National
Singapore,Central,2019-03-06,27.49,DBT 1M F,Singapore_National
Singapore,East,2019-03-07,27.59,DBT 1M F,Singapore_National
Singapore,North,2019-03-08,28.02,DBT 1M F,Singapore_National
Singapore,North-East,2019-03-09,28.01,DBT 1M F,Singapore_National
Singapore,West,2019-03-10,27.62,DBT 1M F,Singapore_National
Singapore,Central,2019-03-11,27.12,DBT 1M F,Singapore_National
Singapore,East,2019-03-12,27.4,DBT 1M F,Singapore_National
Singapore,North,2019-03-13,27.57,DBT 1M F,Singapore_National
Singapore,North-East,2019-03-14,27.66,DBT 1M F,Singapore_National
Singapore,West,2019-03-15,27.43,DBT 1M F,Singapore_National
Singapore,Central,2019-03-16,27.66,DBT 1M F,Singapore_National
Singapore,East,2019-03-17,27.72,DBT 1M F,Singapore_National
Singapore,North,2019-03-18,28.24,DBT 1M F,Singapore_National
Singapore,North-East,2019-03-19,28.94,DBT 1M F,Singapore_National
Singapore,West,2019-03-20,28.87,DBT 1M F,Singapore_National
Singapore,Central,2019-03-21,27.35,DBT 1M F,Singapore_National
Singapore,East,2019-03-22,27.33,DBT 1M F,Singapore_National
Singapore,North,2019-03-23,27.17,DBT 1M F,Singapore_National
Singapore,North-East,2019-03-24,27.15,DBT 1M F,Singapore_National
Singapore,West,2019-03-25,27.48,DBT 1M F,Singapore_National
Singapore,Central,2019-03-26,27.95,DBT 1M F,Singapore_National
Singapore,East,2019-03-27,28.91,DBT 1M F,Singapore_National
Singapore,North,2019-03-28,26.89,DBT 1M F,Singapore_National
Singapore,North-East,2019-03-29,27.37,DBT 1M F,Singapore_National
Singapore,West,2019-03-30,26.11,DBT 1M F,Singapore_National
Singapore,Central,2019-03-31,26.11,DBT 1M F,Singapore_National
Singapore,East,2019-04-01,25.87,DBT 1M F,Singapore_National
Singapore,North,2019-04-02,26.06,DBT 1M F,Singapore_National
Singapore,North-East,2019-04-03,25.71,DBT 1M F,Singapore_National
Singapore,West,2019-04-04,26.77,DBT 1M F,Singapore_National
Singapore,Central,2019-04-05,27.22,DBT 1M F,Singapore_National
Singapore,East,2019-04-06,26.65,DBT 1M F,Singapore_National
Singapore,North,2019-04-07,27.32,DBT 1M F,Singapore_National
Singapore,North-East,2019-04-08,27.08,DBT 1M F,Singapore_National
Singapore,West,2019-04-09,26.99,DBT 1M F,Singapore_National
Singapore,Central,2019-04-10,26.6,DBT 1M F,Singapore_National
Singapore,East,2019-04-11,26.91,DBT 1M F,Singapore_National
Singapore,North,2019-04-12,27.23,DBT 1M F,Singapore_National
Singapore,North-East,2019-04-13,27.76,DBT 1M F,Singapore_National
Singapore,West,2019-04-14,26.86,DBT 1M F,Singapore_National
Singapore,Central,2019-04-15,27.9,DBT 1M F,Singapore_National
Singapore,East,2019-04-16,28.0,DBT 1M F,Singapore_National
Singapore,North,2019-04-17,28.2,DBT 1M F,Singapore_National
Singapore,North-East,2019-04-18,28.34,DBT 1M F,Singapore_National
Singapore,West,2019-04-19,27.56,DBT 1M F,Singapore_National
Singapore,Central,2019-04-20,26.71,DBT 1M F,Singapore_National
Singapore,East,2019-04-21,27.16,DBT 1M F,Singapore_National
Singapore,North,2019-04-22,27.2,DBT 1M F,Singapore_National
Singapore,North-East,2019-04-23,27.27,DBT 1M F,Singapore_National
Singapore,West,2019-04-24,27.15,DBT 1M F,Singapore_National
Singapore,Central,2019-04-25,27.51,DBT 1M F,Singapore_National
Singapore,East,2019-04-26,25.86,DBT 1M F,Singapore_National
Singapore,North,2019-04-27,26.04,DBT 1M F,Singapore_National
Singapore,North-East,2019-04-28,26.91,DBT 1M F,Singapore_National
Singapore,West,2019-04-29,27.75,DBT 1M F,Singapore_National
Singapore,Central,2019-04-30,27.19,DBT 1M F,Singapore_National
Singapore,East,2019-05-01,28.19,DBT 1M F,Singapore_National
Singapore,North,2019-05-02,28.16,DBT 1M F,Singapore_National
Singapore,North-East,2019-05-03,28.12,DBT 1M F,Singapore_National
Singapore,West,2019-05-04,27.28,DBT 1M F,Singapore_National
Singapore,Central,2019-05-05,27.51,DBT 1M F,Singapore_National
Singapore,East,2019-05-06,28.1,DBT 1M F,Singapore_National
Singapore,North,2019-05-07,28.11,DBT 1M F,Singapore_National
Singapore,North-East,2019-05-08,27.08,DBT 1M F,Singapore_National
Singapore,West,2019-05-09,27.6,DBT 1M F,Singapore_National
Singapore,Central,2019-05-10,28.04,DBT 1M F,Singapore_National
Singapore,East,2019-05-11,27.29,DBT 1M F,Singapore_National
Singapore,North,2019-05-12,26.89,DBT 1M F,Singapore_National
Singapore,North-East,2019-05-13,26.79,DBT 1M F,Singapore_National
Singapore,West,2019-05-14,27.1,DBT 1M F,Singapore_National
Singapore,Central,2019-05-15,26.62,DBT 1M F,Singapore_National
Singapore,East,2019-05-16,26.77,DBT 1M F,Singapore_National
Singapore,North,2019-05-17,26.72,DBT 1M F,Singapore_National
Singapore,North-East,2019-05-18,27.02,DBT 1M F,Singapore_National
Singapore,West,2019-05-19,26.66,DBT 1M F,Singapore_National
Singapore,Central,2019-05-20,27.17,DBT 1M F,Singapore_National
Singapore,East,2019-05-21,26.48,DBT 1M F,Singapore_National
Singapore,North,2019-05-22,26.43,DBT 1M F,Singapore_National
Singapore,North-East,2019-05-23,27.27,DBT 1M F,Singapore_National
Singapore,West,2019-05-24,27.76,DBT 1M F,Singapore_National
Singapore,Central,2019-05-25,27.41,DBT 1M F,Singapore_National
Singapore,East,2019-05-26,27.63,DBT 1M F,Singapore_National
Singapore,North,2019-05-27,27.26,DBT 1M F,Singapore_National
Singapore,North-East,2019-05-28,27.38,DBT 1M F,Singapore_National
Singapore,West,2019-05-29,26.33,DBT 1M F,Singapore_National
Singapore,Central,2019-05-30,26.9,DBT 1M F,Singapore_National
Singapore,East,2019-05-31,26.6,DBT 1M F,Singapore_National
Singapore,North,2019-06-01,26.55,DBT 1M F,Singapore_National
Singapore,North-East,2019-06-02,26.72,DBT 1M F,Singapore_National
Singapore,West,2019-06-03,26.41,DBT 1M F,Singapore_National
Singapore,Central,2019-06-04,26.95,DBT 1M F,Singapore_National
Singapore,East,2019-06-05,26.83,DBT 1M F,Singapore_National
Singapore,North,2019-06-06,25.91,DBT 1M F,Singapore_National
Singapore,North-East,2019-06-07,26.24,DBT 1M F,Singapore_National
Singapore,West,2019-06-08,26.43,DBT 1M F,Singapore_National
Singapore,Central,2019-06-09,26.52,DBT 1M F,Singapore_National
