Country,Region,Date,Temperature,reading_type,station_name
Singapore,East,2022-01-01,23.88,DBT 1M F,Singapore_National
Singapore,North,2022-01-02,24.0,DBT 1M F,Singapore_National
Singapore,North-East,2022-01-03,24.99,DBT 1M F,Singapore_National
Singapore,West,2022-01-04,24.92,DBT 1M F,Singapore_National
Singapore,Central,2022-01-05,25.66,DBT 1M F,Singapore_National
Singapore,East,2022-01-06,25.91,DBT 1M F,Singapore_National
Singapore,North,2022-01-07,25.93,DBT 1M F,Singapore_National
Singapore,North-East,2022-01-08,25.64,DBT 1M F,Singapore_National
Singapore,West,2022-01-09,26.1,DBT 1M F,Singapore_National
Singapore,Central,2022-01-10,25.75,DBT 1M F,Singapore_National
Singapore,East,2022-01-11,25.99,DBT 1M F,Singapore_National
Singapore,North,2022-01-12,25.72,DBT 1M F,Singapore_National
Singapore,North-East,2022-01-13,25.73,DBT 1M F,Singapore_National
Singapore,West,2022-01-14,25.38,DBT 1M F,Singapore_National
Singapore,Central,2022-01-15,25.9,DBT 1M F,Singapore_National
Singapore,East,2022-01-16,26.01,DBT 1M F,Singapore_National
Singapore,North,2022-01-17,25.84,DBT 1M F,Singapore_National
Singapore,North-East,2022-01-18,26.15,DBT 1M F,Singapore_National
Singapore,West,2022-01-19,25.51,DBT 1M F,Singapore_National
Singapore,Central,2022-01-20,25.56,DBT 1M F,Singapore_National
Singapore,East,2022-01-21,26.16,DBT 1M F,Singapore_National
Singapore,North,2022-01-22,26.23,DBT 1M F,Singapore_National
Singapore,North-East,2022-01-23,26.53,DBT 1M F,Singapore_National
Singapore,West,2022-01-24,26.74,DBT 1M F,Singapore_National
Singapore,Central,2022-01-25,26.55,DBT 1M F,Singapore_National
Singapore,East,2022-01-26,26.77,DBT 1M F,Singapore_National
Singapore,North,2022-01-27,26.34,DBT 1M F,Singapore_National
Singapore,North-East,2022-01-28,26.83,DBT 1M F,Singapore_National
Singapore,West,2022-01-29,26.73,DBT 1M F,Singapore_National
Singapore,Central,2022-01-30,26.52,DBT 1M F,Singapore_National
Singapore,East,2022-01-31,26.82,DBT 1M F,Singapore_National
Singapore,North,2022-02-01,26.68,DBT 1M F,Singapore_National
Singapore,North-East,2022-02-02,27.1,DBT 1M F,Singapore_National
Singapore,West,2022-02-03,26.53,DBT 1M F,Singapore_National
Singapore,Central,2022-02-04,27.13,DBT 1M F,Singapore_National
Singapore,East,2022-02-05,25.42,DBT 1M F,Singapore_National
Singapore,North,2022-02-06,25.56,DBT 1M F,Singapore_National
Singapore,North-East,2022-02-07,25.83,DBT 1M F,Singapore_National
Singapore,West,2022-02-08,24.76,DBT 1M F,Singapore_National
Singapore,Central,2022-02-09,24.4,DBT 1M F,Singapore_National
